record_id,run_id,parameter,t,total_USD_per_MW,recourse_USD_per_MW,day_ahead_USD_per_MW,capacity_budget_USD_per_MW
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,P_DA_MW,1,-1000.0,-1100.0,100.0,0.0
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,R_down_MW,1,-2.0,-0.0,-2.0,-0.0
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,R_up_MW,1,95.0,100.0,-5.0,-0.0
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,P_DA_MW,1,-1081.6321809631274,-1181.6321809631274,100.0,0.0
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,R_down_MW,1,-10.163218096404298,-8.163218096404298,-2.0,-8.163218096404298
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,R_up_MW,1,94.99999999990845,99.99999999990845,-5.0,-8.163218096404298
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,P_DA_MW,1,100.0,-0.0,100.0,0.0
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,R_down_MW,1,98.0,100.0,-2.0,-0.0
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,R_up_MW,1,-5.0,-0.0,-5.0,-0.0
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,P_DA_MW,1,-9.165645956450703,-109.1656459564507,100.0,0.0
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,R_down_MW,1,-11.165645956450646,-9.165645956450646,-2.0,-0.0
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,R_up_MW,1,-5.0,0.0,-5.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,P_DA_MW,1,75.7414543192375,-4.258545680762488,80.0,0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,P_DA_MW,2,95.0,-5.0,100.0,0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,P_DA_MW,3,135.75594930380217,-4.244050696197838,140.0,0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,P_DA_MW,4,95.0,-5.0,100.0,0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_down_MW,1,-2.0,0.0,-2.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_down_MW,2,-2.0,0.0,-2.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_down_MW,3,143.75594930380217,145.75594930380217,-2.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_down_MW,4,-2.0,0.0,-2.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_up_MW,1,-5.0,-0.0,-5.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_up_MW,2,-120.0,-115.0,-5.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_up_MW,3,-5.0,-0.0,-5.0,-0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,R_up_MW,4,-52.5,-47.5,-5.0,-0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,P_DA_MW,1,75.74145431923063,-4.258545680769373,80.0,0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,P_DA_MW,2,94.99999999999649,-5.000000000003515,100.0,0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,P_DA_MW,3,135.7559493037956,-4.244050696204385,140.0,0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,P_DA_MW,4,94.9999999999988,-5.00000000000119,100.0,0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_down_MW,1,-2.0000000000001696,-1.695196056074952e-13,-2.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_down_MW,2,-2.0000000000001696,-1.695196056074952e-13,-2.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_down_MW,3,143.75594930379538,145.75594930379538,-2.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_down_MW,4,-2.0000000000001696,-1.695196056074952e-13,-2.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_up_MW,1,-5.00000000000017,-1.695196056074952e-13,-5.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_up_MW,2,-119.99999999999659,-114.99999999999659,-5.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_up_MW,3,-5.00000000000017,-1.695196056074952e-13,-5.0,-1.695196056074952e-13
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,R_up_MW,4,-52.499999999999574,-47.499999999999574,-5.0,-1.695196056074952e-13
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,P_DA_MW,1,100.0,-0.0,100.0,0.0
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,R_down_MW,1,-2.0,0.0,-2.0,-0.0
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,R_up_MW,1,-5.0,-0.0,-5.0,-0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,P_DA_MW,1,-9.132309084636205,-109.1323090846362,100.0,0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,R_down_MW,1,-2.0,-0.0,-2.0,-0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,R_up_MW,1,-5.0,0.0,-5.0,-0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,P_DA_MW,1,100.0,-0.0,100.0,0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,R_down_MW,1,-2.0,0.0,-2.0,-0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,R_up_MW,1,-5.0,-0.0,-5.0,-0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,P_DA_MW,1,-13.823499894372858,-113.82349989437286,100.0,0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,R_down_MW,1,-2.0,-0.0,-2.0,-0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,R_up_MW,1,-5.0,0.0,-5.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,P_DA_MW,1,-80.0,-130.0,50.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,P_DA_MW,2,-80.0,-130.0,50.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,P_DA_MW,3,-80.0,-130.0,50.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,P_DA_MW,4,-80.0,-130.0,50.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_down_MW,1,-1.0,-0.0,-1.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_down_MW,2,-1.0,-0.0,-1.0,-0.0
