record_id,run_id,case_sha256,original_status,audit_status,model_pass,kkt_pass,total_relative_gap,recourse_relative_gap,max_normalized_residual
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,36b252a98c28523f19ee55a4c1db70d1fd7f2e12c73c7d42b2fd113050656bdc,solver_optimal,evaluated,true,true,1.7988423690129084e-15,4.263256414560581e-15,2.398456492017216e-9
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,36b252a98c28523f19ee55a4c1db70d1fd7f2e12c73c7d42b2fd113050656bdc,solver_optimal,evaluated,true,true,1.7527020622495114e-11,4.153903887537123e-11,5.592900732328327e-7
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,f78443a069339606fab46248daf5353def584e486f47d99f9035dc683228b19a,solver_optimal,evaluated,true,true,0.0,0.0,7.526935760170553e-10
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,f78443a069339606fab46248daf5353def584e486f47d99f9035dc683228b19a,solver_optimal,evaluated,true,true,2.462562482868525e-13,1.7434942378683015e-12,1.7434942378683015e-8
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,1f0ec5035a9043999511d5a3d8fb2325e501e3de809deb7795fff398341da369,solver_optimal,evaluated,true,true,2.468392145605261e-16,1.4210854715202004e-14,2.4683921456052614e-10
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,1f0ec5035a9043999511d5a3d8fb2325e501e3de809deb7795fff398341da369,solver_optimal,evaluated,true,true,1.2391328570938185e-13,7.133849067031406e-12,7.133849067031406e-8
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,c22fb305ef114818a4533bef8555622976480271e67be86948ac5f99a9e67e16,solver_optimal,evaluated,true,true,0.0,0.0,0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,c22fb305ef114818a4533bef8555622976480271e67be86948ac5f99a9e67e16,solver_optimal,evaluated,true,true,8.201264393731335e-13,1.1645795439108042e-11,1.1645795439108042e-7
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,5b10fa7400d7755cc0f305b5199ebf2d6cb998cfc7516bf7f521ce1c8bbce81f,solver_optimal,evaluated,true,true,0.0,0.0,0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,5b10fa7400d7755cc0f305b5199ebf2d6cb998cfc7516bf7f521ce1c8bbce81f,solver_optimal,evaluated,true,true,1.20504545309458e-12,1.7111645433942613e-11,1.7111645433942613e-7
