record_id,run_id,case_sha256,original_status,audit_status,model_pass,kkt_pass,total_relative_gap,recourse_relative_gap,max_normalized_residual
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,17db0e8a80427c3a37327f8b0f9a628ef20b400e2169d50557d4e53f76970f40,solver_optimal,evaluated,true,true,3.0820716989038275e-16,8.328706060191594e-14,8.328706060191594e-10
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,17db0e8a80427c3a37327f8b0f9a628ef20b400e2169d50557d4e53f76970f40,solver_optimal,evaluated,true,true,2.4656573591230635e-14,6.662964848154386e-12,6.662964848154386e-8
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,9f944e77e43a9fdd2ce249db845d9a5258f6d84197324d4990b61f714091c506,solver_optimal,evaluated,true,true,2.9908537606149724e-16,9.012036283917237e-15,9.012036283917238e-11
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,9f944e77e43a9fdd2ce249db845d9a5258f6d84197324d4990b61f714091c506,solver_optimal,evaluated,true,true,1.2755991289022885e-13,3.843633475090962e-12,3.843633475090962e-8
market_up_full--highs,r5-dispatch-d79c91da-855c-4c87-9d3f-ffc794d7ede4,d13bb271fdbef681f2ab48e3c348e6b1fb2e80a7509c70bcc72fbc5e80aec0d4,solver_infeasible,missing_candidate,false,false,NaN,NaN,NaN
market_up_full--clarabel,r5-dispatch-c6237f54-b6da-4d16-908c-41431d5fa7a3,d13bb271fdbef681f2ab48e3c348e6b1fb2e80a7509c70bcc72fbc5e80aec0d4,solver_infeasible,missing_candidate,false,false,NaN,NaN,NaN
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,4a3b44533f9cc4d4687d4a1442bfa13ed61a9e3c6a81ec75aef2fd29acad1ccc,solver_optimal,evaluated,true,true,0.0,0.0,0.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,4a3b44533f9cc4d4687d4a1442bfa13ed61a9e3c6a81ec75aef2fd29acad1ccc,solver_optimal,evaluated,true,true,1.4609284048545516e-11,5.186295837233956e-11,5.186295837233956e-7
unavailable--highs,r5-dispatch-1426aad8-ae37-42f5-8812-b935116b4396,ad119edbb5c2ca5a471368f4c8bdc40380d8df15d7638aa2b2dc8b00514197cd,solver_infeasible,missing_candidate,false,false,NaN,NaN,NaN
unavailable--clarabel,r5-dispatch-397a2a49-6c8b-45c5-a202-b38c03d3e91f,ad119edbb5c2ca5a471368f4c8bdc40380d8df15d7638aa2b2dc8b00514197cd,solver_infeasible,missing_candidate,false,false,NaN,NaN,NaN
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,4342f87c6b14a5fcc07471e32b3e31f061671520035df06269314d984f28d7c6,solver_optimal,evaluated,true,true,0.0,0.0,7.55896527404362e-10
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,4342f87c6b14a5fcc07471e32b3e31f061671520035df06269314d984f28d7c6,solver_optimal,evaluated,true,true,1.4445182638676484e-12,1.0183853760281671e-11,1.018385376028167e-7
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,c22fb305ef114818a4533bef8555622976480271e67be86948ac5f99a9e67e16,solver_optimal,evaluated,true,true,0.0,0.0,4.253248770394966e-9
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,1f0ec5035a9043999511d5a3d8fb2325e501e3de809deb7795fff398341da369,solver_optimal,evaluated,true,true,1.2341960728026303e-16,7.105427357601002e-15,2.468392145605261e-10
