run_id,purpose,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--p1--swm--clarabel,swm,PV,model,2,1,9.270589802709427e-15,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,1,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,1,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,2,1,5.551115123125783e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,2,1,1.3877787807814457e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,battery_mode,model,2,1,0.0,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,binary,model,2,1,4.446443213623752e-13,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,charge_exclusive,model,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,discharge_exclusive,model,2,1,1.4139528811576755e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,2,3.5227018193008246e-15,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,2,1.9861508243995965e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,2,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,2,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,2,2,4.163336342344337e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,battery_mode,model,2,2,0.0,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,binary,model,2,2,4.476534493594779e-13,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,charge_exclusive,model,2,2,1.7470459754679612e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,discharge_exclusive,model,2,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,3,3.8612241283662755e-15,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,3,1.9436673531733413e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,2,3,2.7755575615628914e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,2,3,3.469446951953614e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,battery_mode,model,2,3,0.0,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,binary,model,2,3,4.4297898682543746e-13,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,charge_exclusive,model,2,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,discharge_exclusive,model,2,3,3.758212935482604e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,4,3.4461268054993533e-15,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,4,1.9868420768610106e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,2,4,6.643491163552291e-18,1.2e-6,MWh,true
