run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160858-7edf4937,1,1.0,1,362.99999977085145,312.7936860432015,0.235120215612282,1.115019198997272
r2-20260916T160858-7edf4937,1,1.0,2,343.0000000182976,312.9188716113122,0.14087235040803556,1.1150192026595793
r2-20260916T160858-7edf4937,1,1.0,3,345.0301979443504,313.0,0.3,2.230038401656849
r2-20260916T160858-7edf4937,2,2.0,1,362.9999999925441,312.78106299770275,0.26783433043110455,1.2698412688548664
r2-20260916T160858-7edf4937,2,2.0,2,343.2251102605075,312.9279438771913,0.16158488731769516,1.2698412693698504
r2-20260916T160858-7edf4937,2,2.0,3,343.00000001722066,313.0,0.32,2.539682538224705
r2-20260916T160858-7edf4937,3,3.0,1,362.99999998983566,312.80197066104773,0.28445549922963126,1.3492063477826282
r2-20260916T160858-7edf4937,3,3.0,2,343.1501692090587,312.9345924814638,0.17122160134096784,1.3492063482946102
r2-20260916T160858-7edf4937,3,3.0,3,343.0000000259649,313.0,0.34,2.6984126960772326
r2-20260916T160858-7edf4937,4,4.0,1,362.999999795595,312.8044184650813,0.2677097634116308,1.2698412523650726
r2-20260916T160858-7edf4937,4,4.0,2,343.16745977152806,312.93459248102056,0.16124195711632183,1.2698412559303225
r2-20260916T160858-7edf4937,4,4.0,3,343.0000003707614,313.0,0.32,2.539682508295339
