record_id,run_id,id,group,entity,t,residual,unit,tolerance,normalized,pass
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,PCC-bound,electric,PCC,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,QCC-bound,electric,PCC,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-9-P,electric,EB,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-9-Q,electric,EB,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-9-P,electric,GT,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-9-Q,electric,GT,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-10,electric,GT,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14,electric,1,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15,electric,1,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-17,electric,1,1,0.0,pu,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14,electric,2,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15,electric,2,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-17,electric,2,1,0.0,pu,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,root-voltage,electric,1,1,0.0,pu,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-16,electric,e12,1,3.469446951953614e-17,pu,1.0e-6,3.469446951953614e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,P-line-bound,electric,e12,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,Q-line-bound,electric,e12,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,mass,heat,1,1,0.0,kg/s,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20,heat,1,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21,heat,1,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-24-S,heat,1,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-24-R,heat,1,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,mass,heat,2,1,0.0,kg/s,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20,heat,2,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21,heat,2,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-24-S,heat,2,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-24-R,heat,2,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-18,heat,source,1,4.163336342344337e-17,MW,2.0e-6,2.0816681711721685e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,source-temperature,heat,source,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-19,heat,building,1,4.163336342344337e-17,MW,2.0e-6,2.0816681711721685e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,heat-nonnegative,heat,building,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-31,electric,building,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,load-return,heat,building,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,R5-D-building,comfort,building,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,building-energy,comfort,building,1,4.163336342344337e-17,MWh,2.0e-6,2.0816681711721685e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-28,comfort,building,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,terminal,comfort,building,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-S,heat,h12,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,transport-weight-S,heat,h12,1,0.0,1,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-R,heat,h12,1,0.0,K,0.0001,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,transport-weight-R,heat,h12,1,0.0,1,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,R5-D-delivery,delivery,PCC,1,5.551115123125783e-17,MW,2.0e-6,2.7755575615628914e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-epigraph,delivery,PCC,1,5.551115123125783e-17,MW,2.0e-6,2.7755575615628914e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-exact,auxiliary,PCC,1,5.551115123125783e-17,MW,2.0e-6,2.7755575615628914e-11,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-4,delivery,window,0,0.0,MWh,2.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-5-cost,cost,total,0,5.684341886080802e-14,USD,2.3700000000000058e-5,2.39845649201721e-9,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,PCC-bound,electric,PCC,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,QCC-bound,electric,PCC,1,0.0,Mvar,2.0e-6,0.0,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,5-9-P,electric,EB,1,0.0,MW,2.0e-6,0.0,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,5-9-Q,electric,EB,1,3.3017565928116176e-16,Mvar,2.0e-6,1.650878296405809e-10,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,5-9-P,electric,GT,1,1.021602577973894e-14,MW,2.0e-6,5.10801288986947e-9,true
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,5-9-Q,electric,GT,1,3.3017565928116176e-16,Mvar,2.0e-6,1.650878296405809e-10,true
