record_id,run_id,pipe,side,t,T_in_K,T_out_K,replay_K,m_kg_s,weight_sum
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,S,2,330.15,330.15,330.15,1.0,1.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,R,2,320.15,320.15,320.15,1.0,1.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,S,3,330.15,330.15,330.15,1.0,1.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,R,3,320.15,320.15,320.15,1.0,1.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,S,4,330.15,330.15,330.15,1.0,1.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,h12,R,4,320.15,320.15,320.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,S,1,330.15,330.15000000000003,330.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,R,1,320.15,320.15,320.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,S,2,330.15,330.15000000000003,330.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,R,2,320.15,320.15,320.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,S,3,330.15,330.15,330.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,R,3,320.15,320.15,320.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,S,4,330.15,330.15000000000003,330.15,1.0,1.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,h12,R,4,320.15,320.15,320.15,1.0,1.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,h12,S,1,330.15,330.15,330.15,1.0,1.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,h12,R,1,320.15,320.15,320.15,1.0,1.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,h12,S,1,330.15,330.15,330.15,1.0,1.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,h12,R,1,320.15,320.15,320.15,1.0,1.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,h12,S,1,330.15,330.15,330.15,1.0,1.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,h12,R,1,320.15,320.15,320.15,1.0,1.0
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,h12,S,1,330.15,330.15,330.15,1.0,1.0
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,h12,R,1,320.15,320.15,320.15,1.0,1.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,h12,S,1,330.15,330.15,330.15,1.0,1.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,h12,R,1,320.15,320.15,320.15,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,S,1,333.54864656575404,333.3413167851121,333.34131678511204,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,R,1,333.3413167851121,330.6915037086112,330.69150370861126,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,S,2,320.84192144205315,323.9289803468407,323.92898034684066,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,R,2,316.78612320398355,320.84192144205315,320.84192144205304,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,S,3,324.1749201246589,323.2556376568094,323.2556376568095,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,R,3,323.2556376568094,321.55587250561143,321.5558725056114,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,S,4,313.15,315.8382538244735,315.8382538244735,1.0,1.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,h12,R,4,304.64777763399746,309.24590803457795,309.24590803457795,1.0,1.0
