stage,run_id,status,model_pass,thermal_replay,normal_cost_CNY,critical_MWh,critical_unserved_MWh,ordinary_unserved_MWh,heat_unserved_MWh,analytic_lower_MWh,solver_lower_MWh,relative_gap,conditional_optimality,exact_exchange_check,wall_sec,budget_pass,critical_limit_pass
normal,74e43db5-0140-48be-8aa3-645aabf7a397,candidate,true,true,497483.59787383664,NaN,NaN,NaN,NaN,NaN,NaN,9.049827095321607e-5,true,not_applicable,35.223999977111816,true,false
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,solver_optimal,true,not_checked,NaN,51.28750000000001,7.255499999999932,102.0266900000001,1.5814674013723364,7.255499999999999,7.25549999999993,2.448290041210485e-16,true,false,35.53200006484985,true,false
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,solver_optimal,true,not_checked,NaN,51.28750000000001,9.88391793381035,99.39827206618966,2.821375000000002,7.255499999999999,9.883917933810348,1.7972193327544626e-16,true,false,37.75399994850159,true,false
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,solver_optimal,true,not_checked,NaN,51.28750000000001,10.319838401908148,99.77371966607043,1.1395081706506613,7.255499999999999,10.319838401908147,1.7213029605888017e-16,true,false,37.50999999046326,true,false
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,solver_optimal,true,true,NaN,51.28750000000001,9.521441123589586,102.02669000000006,2.185707170026795,7.255499999999999,9.521441123589582,3.73127726431934e-16,true,not_applicable,49.93899989128113,true,false
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,solver_optimal,true,true,NaN,51.28750000000001,10.416971247091507,102.02669000000006,1.3205464906075743,7.255499999999999,10.416971247091503,3.410505409422575e-16,true,not_applicable,53.53700017929077,true,false
detailed-author_event1,r7-transport-801c48d0-4737-4bc6-b33d-64a77b230d9f,solver_optimal,true,true,NaN,51.28750000000001,10.682203848858894,101.9703986350554,2.9500608031836966,7.255499999999999,10.682203848858894,0.0,true,not_applicable,53.615999937057495,true,false
