run_id,kind,ratio
open_flexible--distributed,model,0.9852203200211296
open_flexible--central_enumeration,model,5.5889893727184755e-6
open_flexible--central_misocp,model,0.26411859620784967
open_flexible--central_exact,model,0.0001112166284992592
open_fixed--distributed,model,0.978196834117151
open_fixed--central_enumeration,model,5.264003730503735e-6
open_fixed--central_misocp,model,0.007396317455317776
open_fixed--central_exact,model,0.03561420691269276
import_flexible--distributed,model,0.9998934030058804
import_flexible--central_enumeration,model,7.133049817453884e-7
import_flexible--central_misocp,model,0.1647898699754539
import_flexible--central_exact,model,0.0001167926081265943
import_fixed--distributed,model,0.9994515420275185
import_fixed--central_enumeration,model,3.11873253766119e-6
import_fixed--central_misocp,model,0.0064004840010177715
import_fixed--central_exact,model,0.030819158752117753
open_flexible--precision--original,model,29020.76330229017
open_flexible--precision--qcp_1e9,model,29015.94644956905
import_flexible--precision--original,model,29015.642481448565
import_flexible--precision--qcp_1e9,model,9.93333735728926
open_flexible--distributed,electric_original,1.6549638033741543
open_flexible--central_enumeration,electric_original,0.0005582254762603878
open_flexible--central_misocp,electric_original,0.5047756027375464
open_flexible--central_exact,electric_original,2.6127993432017993e-5
open_fixed--distributed,electric_original,0.13215421693600626
open_fixed--central_enumeration,electric_original,0.0002700434086413961
open_fixed--central_misocp,electric_original,15.22127677273423
open_fixed--central_exact,electric_original,0.0006264394177002419
import_flexible--distributed,electric_original,0.2251805480148715
import_flexible--central_enumeration,electric_original,3.5795449503800425e-5
import_flexible--central_misocp,electric_original,3.8908677425860025
import_flexible--central_exact,electric_original,6.938893903907228e-12
import_fixed--distributed,electric_original,0.27668582464447994
import_fixed--central_enumeration,electric_original,0.00020502128423791066
import_fixed--central_misocp,electric_original,83.76450833945566
import_fixed--central_exact,electric_original,2.506675422786486e-10
open_flexible--precision--original,electric_original,15.25767146473827
open_flexible--precision--qcp_1e9,electric_original,1.6166547267548736e-6
import_flexible--precision--original,electric_original,0.9319703139889016
import_flexible--precision--qcp_1e9,electric_original,0.0003586909762265389
