run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,2,1,2.4336328335929537e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,1,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,1,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,2,1,5.551115123125783e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,2,1,3.469446951953614e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,battery_mode,model,2,1,0.0,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,binary,model,2,1,9.625633623500107e-14,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,charge_exclusive,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,discharge_exclusive,model,2,1,1.0185278357890108e-14,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,2,2.051746052741232e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,2,5.956019706481862e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,2,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,2,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,2,2,1.3877787807814457e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,2,2,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,battery_mode,model,2,2,0.0,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,binary,model,2,2,9.687259432182621e-14,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,charge_exclusive,model,2,2,3.0741169672521436e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,discharge_exclusive,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,3,2.207245663257627e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,3,5.789351404249999e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,2,3,4.336808689942018e-19,1.2e-6,MWh,true
