run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
open_flexible--distributed,open_flexible,distributed,10,1,1,0.0015001133685401166,8.381072213435442e-17,1.7487692094384685e-14,2.406502873973255e-7,9.575002315490377e-16,-1.0171257805352656e-15,-8.532186717089331e-19,7.214226628848491e-14,2.147284820552334e-15
open_flexible--distributed,open_flexible,distributed,10,1,2,0.09554307889738722,2.1157835379754985e-15,-2.3499771608315258e-15,2.1468064291240514e-8,4.993868149527523e-15,-5.474938861072131e-15,-2.983084802002592e-17,7.308798697125572e-14,6.38786856799641e-15
open_flexible--distributed,open_flexible,distributed,10,1,3,0.0015001133059926958,1.177942459266968e-13,-1.1648384764558437e-13,4.609156256174493e-8,-7.97111441036385e-14,7.182370370362737e-14,-1.6794380145363219e-15,7.261681390697084e-14,3.2603720460190504e-14
open_flexible--distributed,open_flexible,distributed,10,1,4,0.0015000796096804024,9.010550195258598e-17,1.694580469574274e-14,2.8067864379381963e-7,5.338886079524785e-15,-5.630221048348739e-15,-9.43327785760833e-19,7.213693480595678e-14,-3.437295736790864e-14
open_flexible--distributed,open_flexible,distributed,10,2,1,-1.935046796784859e-15,2.4336328335929537e-15,0.09999994378200144,-6.046308440494215e-15,0.024789933381948133,1.9810911981390215e-14,0.21190370049363846,0.10511382639548814,0.1
open_flexible--distributed,open_flexible,distributed,10,2,2,-2.051746052741232e-15,0.26999996740128906,0.03579758938939344,-5.956019706481862e-15,1.2761376399434766e-14,0.09999977145541364,0.26211817051011105,0.12771129976340354,0.12355043671282988
open_flexible--distributed,open_flexible,distributed,10,2,3,-2.207245663257627e-15,0.4499999620530943,0.070748459903534,-5.789351404249999e-15,1.2620693083451821e-14,0.00017586870654611478,0.21001811667643916,0.10668460791505191,0.01828751939135397
open_flexible--distributed,open_flexible,distributed,10,2,4,-1.984746445865066e-15,0.0899999581906614,0.09999994108987338,-5.9975592744025315e-15,0.08620800585569906,1.992808227338581e-14,0.21190251915218516,0.10510979175538528,0.01810239443710689
open_flexible--distributed,open_flexible,distributed,10,3,1,0.018363616309274532,3.3530775097527276e-17,5.070701178250904e-17,1.6219579325904948e-7,4.234001692060449e-18,-9.720037363093902e-18,0.26685482998544197,0.21512290701583142,-5.9861897386405376e-18
open_flexible--distributed,open_flexible,distributed,10,3,2,0.14999991221514958,3.989288473700025e-17,4.9640578176201003e-17,4.603138086954024e-8,-8.829755032258399e-19,-4.795377080827578e-18,0.3170781010408912,0.2707331220099811,2.280940667317121e-18
open_flexible--distributed,open_flexible,distributed,10,3,3,0.09408972896091096,3.5975717998925996e-17,4.5309717750549913e-17,6.762638661216819e-8,1.5555784875752525e-18,-7.050085133846364e-18,0.26497941870500047,0.21666935447415758,-2.74117395678054e-18
open_flexible--distributed,open_flexible,distributed,10,3,4,0.018356944752316497,3.348988440028366e-17,5.0712256384795174e-17,1.6272317582900578e-7,3.1755572450600532e-18,-8.557864488866577e-18,0.26685968518351844,0.21511884125288916,-1.6428025737078598e-18
open_flexible--central_enumeration,open_flexible,central_enumeration,14,1,1,0.0014999996024549075,1.2894607686395764e-11,8.203975180305368e-12,4.706463454331677e-10,1.9709229441115228e-13,-6.284799149355669e-12,-4.199855938986068e-13,8.693561875020741e-13,-4.678310777573013e-14
