id,run_id,family,resource,control,mode,limit_MWh,solver,primary_status,primary_model_pass,objective_complete,normal_cost_USD,objective_value,objective_kind,objective_bound,relative_gap,evaluation_status,evaluation_pass,risk_complete,threshold_pass,worst_upper_MWh,elapsed_sec,wall_budget_pass
legacy_all_fixed_penalty_L0p4_gurobi,r8-fc4d480e-4e7f-4c85-a34e-e52da401f883,legacy,all,fixed,penalty,0.4,Gurobi,candidate,true,true,193.0221952369106,593.0221952369106,normal_cost_plus_event_unserved_penalty_USD,593.0221952369104,3.8341511880916523e-16,candidate,true,true,true,0.4,0.16300010681152344,true
legacy_all_fixed_threshold_L0p0_gurobi,r8-3cae4f7f-9116-4783-9fd3-237475ab395f,legacy,all,fixed,threshold,0.0,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,,,not_run,false,false,false,,0.08000016212463379,true
legacy_all_fixed_threshold_L0p2_gurobi,r8-1c847568-a07a-4def-8b14-10f9f88f1fcd,legacy,all,fixed,threshold,0.2,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,,,not_run,false,false,false,,0.042999982833862305,true
legacy_all_fixed_threshold_L0p4_gurobi,r8-6ef535a4-2d45-4274-9982-6543e1db778b,legacy,all,fixed,threshold,0.4,Gurobi,candidate,true,true,193.02219523691053,193.02219523691053,expected_normal_cost_USD,193.0221952369105,1.4724580971385142e-16,candidate,true,true,true,0.4,0.16300010681152344,true
legacy_all_fixed_threshold_L0p6_gurobi,r8-b37c6cd4-3b07-47d8-8a14-b2e5308d8775,legacy,all,fixed,threshold,0.6,Gurobi,candidate,true,true,192.6221952369105,192.6221952369105,expected_normal_cost_USD,192.6221952369105,0.0,candidate,true,true,true,0.6000000000000001,0.16700005531311035,true
legacy_all_fixed_threshold_L0p8_gurobi,r8-4eab3d21-228b-4dd1-923f-5dd7d259a73e,legacy,all,fixed,threshold,0.8,Gurobi,candidate,true,true,192.2221952369105,192.2221952369105,expected_normal_cost_USD,192.22219523691052,-1.478586247304831e-16,candidate,true,true,true,0.8,0.17999982833862305,true
legacy_all_fixed_threshold_L1p0_gurobi,r8-5776a828-347c-4613-a789-bb96d41b2091,legacy,all,fixed,threshold,1.0,Gurobi,candidate,true,true,191.8221952369106,191.8221952369106,expected_normal_cost_USD,191.8221952369106,0.0,candidate,true,true,true,1.0,0.1770000457763672,true
legacy_all_fixed_threshold_L1p2_gurobi,r8-57131445-2aa6-4fcb-8dd2-70ae5cfea487,legacy,all,fixed,threshold,1.2,Gurobi,candidate,true,true,191.74719523691036,191.74719523691036,expected_normal_cost_USD,191.74719523691033,1.4822490308287426e-16,candidate,true,true,true,1.0375,0.17499995231628418,true
tie_three_all_fixed_economic_L0p4_gurobi,r8-fe012aad-6284-4efe-b636-2a60048a3ff6,tie_three,all,fixed,economic,0.4,Gurobi,candidate,true,true,191.74719523691124,191.74719523691124,expected_normal_cost_USD,191.74719523691124,0.0,candidate,true,true,true,0.0,0.182999849319458,true
tie_three_all_fixed_penalty_L0p4_gurobi,r8-73067907-0b72-4a91-8ed6-c7983ec32adf,tie_three,all,fixed,penalty,0.4,Gurobi,candidate,true,true,191.74719523691044,191.74719523691044,normal_cost_plus_event_unserved_penalty_USD,191.74719523691047,-1.4822490308287419e-16,candidate,true,true,true,0.0,0.25,true
tie_three_all_fixed_threshold_L0p0_gurobi,r8-f61e248f-3dc6-4858-993c-86833f301d85,tie_three,all,fixed,threshold,0.0,Gurobi,candidate,true,true,191.7471952369105,191.7471952369105,expected_normal_cost_USD,191.7471952369105,0.0,candidate,true,true,true,0.0,0.24499988555908203,true
tie_three_all_fixed_threshold_L0p2_gurobi,r8-090388d7-8652-4909-b8e5-2b8da01fbd3e,tie_three,all,fixed,threshold,0.2,Gurobi,candidate,true,true,191.74719523691044,191.74719523691044,expected_normal_cost_USD,191.74719523691047,-1.4822490308287419e-16,candidate,true,true,true,0.0,0.25099992752075195,true
tie_three_all_fixed_threshold_L0p4_gurobi,r8-56e5fec6-c9bc-4cdb-8885-b74e2089b03e,tie_three,all,fixed,threshold,0.4,Gurobi,candidate,true,true,191.74719523691044,191.74719523691044,expected_normal_cost_USD,191.74719523691047,-1.4822490308287419e-16,candidate,true,true,true,0.0,0.29200005531311035,true
tie_three_all_fixed_threshold_L0p6_gurobi,r8-1f46a093-b2b2-484a-9ffc-137464221558,tie_three,all,fixed,threshold,0.6,Gurobi,candidate,true,true,191.74719523691044,191.74719523691044,expected_normal_cost_USD,191.74719523691047,-1.4822490308287419e-16,candidate,true,true,true,0.0,0.2330000400543213,true
tie_three_no_battery_fixed_threshold_L0p4_highs,r8-4b64c17b-432e-4f59-95eb-eafc418d17f2,tie_three,no_battery,fixed,threshold,0.4,HiGHS,candidate,true,true,191.7471952369108,191.7471952369108,expected_normal_cost_USD,191.7471952369108,0.0,candidate,true,true,true,1.0556638896375148e-15,0.2980000972747803,true
tie_three_no_battery_fixed_threshold_L0p4_gurobi,r8-ad94935f-ae4d-4c2d-bd3a-48c71f10e2e4,tie_three,no_battery,fixed,threshold,0.4,Gurobi,candidate,true,true,191.74719523691047,191.74719523691047,expected_normal_cost_USD,191.74719523691044,1.4822490308287419e-16,candidate,true,true,true,0.0,0.24000000953674316,true
tie_three_no_net_heat_charge_fixed_threshold_L0p4_highs,r8-fa883c71-73c2-4bb8-8192-485a28da617e,tie_three,no_net_heat_charge,fixed,threshold,0.4,HiGHS,infeasible_certified,false,false,,,expected_normal_cost_USD,0.0,,not_run,false,false,false,,0.07800006866455078,true
tie_three_no_net_heat_charge_fixed_threshold_L0p4_gurobi,r8-c18df41c-1890-40d0-b6d7-5d51cd26eb4a,tie_three,no_net_heat_charge,fixed,threshold,0.4,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,,,not_run,false,false,false,,0.10599994659423828,true
tie_three_no_reconfiguration_fixed_threshold_L0p4_highs,r8-f29c2171-5c42-4b38-80b1-f75485034d9d,tie_three,no_reconfiguration,fixed,threshold,0.4,HiGHS,candidate,true,true,191.74719523691098,191.74719523691098,expected_normal_cost_USD,191.747195236911,-1.482249030828738e-16,candidate,true,true,true,0.23750000000000046,0.3690001964569092,true
tie_three_no_reconfiguration_fixed_threshold_L0p4_gurobi,r8-c061e652-37a1-46ce-9d39-372fcd78f672,tie_three,no_reconfiguration,fixed,threshold,0.4,Gurobi,candidate,true,true,191.74719523691044,191.74719523691044,expected_normal_cost_USD,191.74719523691047,-1.4822490308287419e-16,candidate,true,true,true,0.2375,0.31100010871887207,true
tie_three_all_joint_continuous_economic_L0p4_gurobi,r8-4f33da33-0596-4dee-9f58-cbf4d42fb240,tie_three,all,joint_continuous,economic,0.4,Gurobi,time_limit_no_solution,false,false,,,expected_normal_cost_USD,100.18193407032834,,not_run,false,false,false,,480.60199999809265,true
tie_three_all_joint_continuous_penalty_L0p4_gurobi,r8-4530cf42-83e9-47d9-b86d-79871d129cd7,tie_three,all,joint_continuous,penalty,0.4,Gurobi,time_limit_no_solution,false,false,,,normal_cost_plus_event_unserved_penalty_USD,78.1096569380993,,not_run,false,false,false,,480.0680000782013,true
tie_three_all_joint_continuous_threshold_L0p4_gurobi,r8-a17fe9d2-3331-48d2-ad93-fde80bb854f1,tie_three,all,joint_continuous,threshold,0.4,Gurobi,time_limit_no_solution,false,false,,,expected_normal_cost_USD,79.34799923426304,,not_run,false,false,false,,480.06500005722046,true
legacy_all_joint_continuous_threshold_L0p4_gurobi,r8-24c82b3f-3a51-4dc5-9d9b-4af7f6a9a82a,legacy,all,joint_continuous,threshold,0.4,Gurobi,time_limit_no_solution,false,false,,,expected_normal_cost_USD,148.9182694900445,,not_run,false,false,false,,480.0439999103546,true
