record_id,run_id,phase,iteration,scenario,group,count,failures,worst_id,residual,tolerance,normalized,pass
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,complementarity,68,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,gap,1,0,primal-dual,4.407833348387715e-16,0.0001,4.407833348387715e-12,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,objective,1,0,objective,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,primal,68,0,5-19/building/1,5.598054812730529e-17,1.0e-8,5.598054812730528e-9,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,sign,68,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,none,stationarity,23,0,H_D/1/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,complementarity,68,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,gap,1,0,primal-dual,1.4729327026536068e-16,0.0001,1.4729327026536067e-12,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,objective,1,0,objective,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,primal,68,0,5-19/building/1,5.598054812730529e-17,1.0e-8,5.598054812730528e-9,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,sign,68,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_KKT,1,up,stationarity,23,0,H_D/1/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,auxiliary,1,0,5-3-exact,0.0,2.0e-6,0.0,true
