run_id,scope,maximum_ratio
cf_ct_clarabel_socp,model,0.00018772974930765692
cf_ct_clarabel_socp,physics,0.0007400394255729914
cf_ct_gurobi_original,model,0.28339309785555306
cf_ct_gurobi_original,physics,0.2225120828347124
cf_ct_gurobi_socp,model,8.191116273419688e-6
cf_ct_gurobi_socp,physics,0.6109556456926346
cf_vt_clarabel_socp,model,0.0017763568394002505
cf_vt_clarabel_socp,physics,5.520752605070456e-5
cf_vt_gurobi_original,model,0.28339309785555306
cf_vt_gurobi_original,physics,0.2225120828347124
cf_vt_gurobi_socp,model,0.0017763568394002505
cf_vt_gurobi_socp,physics,0.26024008802105236
