method,case,domain,algorithm,solver,status,record_pass,mode_contract_pass,iterations,consensus_A4_pass,model_candidate,original_candidate,best_model_cost_CNY,best_original_cost_CNY,last_cost_CNY,selected_index,model_ratio,original_ratio,solver_bound_CNY,solver_gap,cost_optimization_complete,method_elapsed_sec,process_elapsed_sec,process_budget_pass
fixed-convex-central,equipment-fixed,fixed_modes,central,Clarabel,infeasible_certified,true,true,0,false,false,false,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,false,40.161068900022656,41.959126500063576,true
fixed-convex-admm,equipment-fixed,fixed_modes,admm,Clarabel,solver_failure,true,true,0,false,false,false,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,false,36.55686150002293,37.4266281001037,true
