version,run_id,iteration,mode,cost,diagnostic,step,projected_gradient,accepted,smooth,local_direction,trust_radius,active_changed,elapsed_sec
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,31,diagnostic,,4.75982879981161e-5,,0.0012441879185519644,true,true,0.004677976652720517,0.2,false,89.32570870002382
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,32,diagnostic,,4.713496091051208e-5,,0.0012767943205337362,true,true,0.00469677824902992,0.2,false,92.48233240001719
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,33,diagnostic,,4.6666625512552626e-5,,0.0012806891734283843,true,true,0.00471520240207024,0.2,false,95.39372520000325
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,34,diagnostic,,4.619285090918849e-5,,0.001279911998595118,true,true,0.0047332114895968225,0.2,false,98.09845870002755
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,35,diagnostic,,4.571362881275793e-5,,0.0012776477897019634,true,true,0.004750765715419325,0.2,false,100.99002390002715
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,36,diagnostic,,4.5229542951721286e-5,,0.0012764302198089439,true,true,0.004767824247456032,0.2,false,103.76383820001502
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,37,diagnostic,,4.474022849744797e-5,0.0078125,0.0012750921120454617,true,true,,,false,107.06651170001714
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,38,diagnostic,,4.473992396431539e-5,,0.0012743955793743655,true,true,0.0047927905397489035,0.2,false,109.20000160002382
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,39,diagnostic,,4.424474372400806e-5,0.0078125,0.0012735793142805152,true,true,,,false,111.84471370000392
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,40,diagnostic,,4.4244369324597115e-5,,0.001273261410565274,true,true,0.004809061933558567,0.2,false,114.18262720000348
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,41,diagnostic,,4.3743999394508865e-5,0.0078125,0.0012720390013308824,true,true,,,false,116.927980700013
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,42,diagnostic,,4.374320373404618e-5,,0.001270399217374485,true,true,0.004824690178616642,0.2,false,118.01871440000832
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,43,diagnostic,,4.323794157749759e-5,0.0078125,0.0012704159090222156,true,true,,,false,121.29961890002596
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,44,diagnostic,,4.323594268283491e-5,,0.0012283128488013162,true,true,0.004839650256800887,0.2,false,123.52572730000247
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,45,diagnostic,,4.2726565420186485e-5,0.0078125,0.001268718300889704,true,true,,,false,126.38322340001469
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,46,diagnostic,,4.2724363955172254e-5,,0.0012612080746282617,true,true,0.004853894252464075,0.2,false,128.57222870000987
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,47,diagnostic,,4.220973834073957e-5,0.0078125,0.0012654195028138915,true,true,,,false,130.19371170000522
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,48,diagnostic,,4.220745547006293e-5,,0.0012593699845354633,true,true,0.004867361384368163,0.2,false,132.41192530002445
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,49,diagnostic,,4.168775491998657e-5,0.0078125,0.0012641293029785894,true,true,,,false,135.2409102000238
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,50,diagnostic,,4.1684593659282394e-5,,0.001227915564228188,true,true,0.004880029212259718,0.2,false,138.33952300000237
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,51,diagnostic,,4.1160469973286456e-5,0.0078125,0.0012626659429466613,true,true,,,false,141.2328444000159
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,52,diagnostic,,4.115716298671033e-5,,0.0012522865751635193,true,true,0.00489183030192919,0.2,false,143.80717470002128
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,53,diagnostic,,4.0627832025634603e-5,0.0078125,0.001260429398444507,true,true,,,false,147.11680680001155
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,54,diagnostic,,4.062473881428161e-5,,0.00125195444253412,true,true,0.004902708900359487,0.2,false,149.7438682000211
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,55,diagnostic,,4.0090109346540636e-5,0.0078125,0.0012570268613527613,true,true,,,false,152.49255300001823
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,56,diagnostic,,4.0085964757793713e-5,,0.0012511251979344662,true,true,0.00491265290497922,0.2,false,155.60118600001442
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,57,diagnostic,,3.954704356292143e-5,0.0078125,0.0012546736169141148,true,true,,,false,158.30214870002237
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,58,diagnostic,,3.9542241923201614e-5,,0.0012332453649930297,true,true,0.004921536708278884,0.2,false,160.5473143000272
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,59,diagnostic,,3.899878602912177e-5,0.0078125,0.0012525010943296166,true,true,,,false,163.30802760002553
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,60,diagnostic,,3.899323837276071e-5,,0.0012352930753698477,true,true,0.004929334031770427,0.2,false,165.50260700000217
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,61,diagnostic,,3.8445400427839326e-5,0.0078125,0.0012500548140371714,true,true,,,false,168.19014300001436
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,62,diagnostic,,3.843883346392625e-5,,0.001236580769853779,true,true,0.004935987271661446,0.2,false,170.40671850001672
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,63,diagnostic,,3.788695599321267e-5,0.0078125,0.00124764934934396,true,true,,,false,173.18094900000142
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,64,diagnostic,,3.7880307151285915e-5,,0.0012052010409876468,true,true,0.004941445290596924,0.2,false,176.2502559000277
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,65,diagnostic,,3.7323521383540124e-5,0.0078125,0.0012451738424781311,true,true,,,false,179.1410180000239
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,66,diagnostic,,3.7315695171742095e-5,,0.0009172432115258644,true,true,0.004945653408558126,0.2,false,181.55228220002027
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,67,diagnostic,,3.6755173996313014e-5,,0.0012427877424471268,true,true,0.004936386822853356,0.2,false,184.3462886000052
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,68,diagnostic,,3.618341510919463e-5,,0.001240448057694521,true,true,0.0049375720670656875,0.2,false,186.22846770001343
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,69,diagnostic,,3.560696767870954e-5,,0.001238215801338316,true,true,0.004937377442383761,0.2,false,188.20619320002152
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,70,diagnostic,,3.502595749977542e-5,,0.0012360829005186869,true,true,0.004935734145795401,0.2,false,190.10014590001083
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,71,diagnostic,,3.444050159837787e-5,,0.0012340345798105279,true,true,0.004932597257738314,0.2,false,192.05969740002183
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,72,diagnostic,,3.385072698333667e-5,,0.0012320579293950695,true,true,0.00492792521046348,0.2,false,194.03129880002234
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,73,diagnostic,,3.325677077036106e-5,,0.0012301303431123678,true,true,0.004921679464619189,0.2,false,196.75833080001757
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,74,diagnostic,,3.2658780102661455e-5,,0.0012282285059688203,true,true,0.004913820373040556,0.2,false,198.8197728000232
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,75,diagnostic,,3.205691272101851e-5,,0.0012263436579867948,true,true,0.004904412423011095,0.2,false,200.7797427000187
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,76,diagnostic,,3.14513248173524e-5,,0.0012244461842656484,true,true,0.0048933753204349895,0.2,false,202.6934872000129
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,77,diagnostic,,3.084218782332786e-5,,0.0012225256099753778,true,true,0.00488011105819508,0.2,false,204.66137440002058
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,78,diagnostic,,3.02297524210411e-5,,0.0012205677457552966,true,true,0.004861783805593101,0.2,false,206.60151010000845
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,79,diagnostic,,2.961462742593304e-5,,0.0012185363068831778,true,true,0.004845839792518847,0.2,false,208.52284520000103
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,80,diagnostic,,2.8996538965664784e-5,,0.0012165070279857026,true,true,0.004828178172946895,0.2,false,210.59515970002394
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,81,diagnostic,,2.837567735795657e-5,,0.0012144344127549278,true,true,0.004808817506107843,0.2,false,212.62598450001678
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,82,diagnostic,,2.7752257274438645e-5,,0.0012123176604307284,true,true,0.004787756706811308,0.2,false,214.4964386000065
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,83,diagnostic,,2.712650085982724e-5,,0.0012101555785746232,true,true,0.004765010203515718,0.2,false,216.5189833000186
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,84,diagnostic,,2.6498636088576383e-5,,0.001207950649121381,true,true,0.004740598791629136,0.2,false,219.43616710000788
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,85,diagnostic,,2.5868895932039035e-5,,0.0012057085760862618,true,true,0.0047145505904762075,0.2,false,221.53586270002415
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,86,diagnostic,,2.5237517129221507e-5,,0.0012034320090524853,true,true,0.004686900556323925,0.2,false,223.36915260000387
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,87,diagnostic,,2.4604739393969933e-5,,0.0012011237654170337,true,true,0.004657690493737654,0.2,false,225.3461854000052
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,88,diagnostic,,2.3970804394289265e-5,,0.0011987867441469735,true,true,0.00462696705394916,0.2,false,227.30164890000015
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,89,diagnostic,,2.333595494190912e-5,,0.0011964232242538397,true,true,0.004594783732761787,0.2,false,229.30599160000565
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,90,diagnostic,,2.270043392898655e-5,,0.00119403596624168,true,true,0.004561198831618984,0.2,false,231.25825280000572
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,91,diagnostic,,2.206448340665425e-5,,0.0011916267682064996,true,true,0.004526275381454559,0.2,false,233.03253620001487
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,92,diagnostic,,2.142834368827652e-5,,0.0011891978859012164,true,true,0.004490080645489725,0.2,false,234.8058823000174
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,93,diagnostic,,2.079225247601684e-5,,0.0011867508736005394,true,true,0.004452685632214015,0.2,false,236.60929390002275
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,94,diagnostic,,2.015641986066009e-5,,0.0011835715624300969,true,true,0.004414164472562376,0.2,false,238.46493970000301
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,95,diagnostic,,1.9521124393113108e-5,,0.0011811027920793915,true,true,0.004374593920218217,0.2,false,240.25092800002312
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,96,diagnostic,,1.8886566282257097e-5,,0.0011786131921530663,true,true,0.004334052740827543,0.2,false,243.08937359999982
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,97,diagnostic,,1.8252964670378315e-5,,0.001176103866100453,true,true,0.004292621137490293,0.2,false,245.11703160000616
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,98,diagnostic,,1.762053238730368e-5,,0.001173577559728023,true,true,0.004250380217314831,0.2,false,247.00266820000252
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,99,diagnostic,,1.6989475168782115e-5,,0.0011710335558231533,true,true,0.004207411384206328,0.2,false,248.72550490000867
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,100,diagnostic,,1.635999147635732e-5,,0.001168476422578335,true,true,0.004163795867653253,0.2,false,250.45238330002758
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,101,diagnostic,,1.573227168203345e-5,,0.001165903997476736,true,true,0.004119614114649117,0.2,false,252.31843860002118
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,102,diagnostic,,1.5106498032114923e-5,,0.0011633236723171958,true,true,0.004074945401618901,0.2,false,254.2196633000276
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,103,diagnostic,,1.4482844133131047e-5,,0.001160735262014878,true,true,0.004029867195213477,0.2,false,256.378735300008
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,104,diagnostic,,1.3861474907283007e-5,,0.0011581436079242113,true,true,0.003984454635457713,0.2,false,258.4525193000154
v2,r3-v2-20260917T093636-37b7a2ec/two-source-VF_CT-pg,105,diagnostic,,1.3242546441496384e-5,,0.0011555542194454649,true,true,0.003938780995559998,0.2,false,260.4857189000177
