index,id,run_id,residual_ratio
1,legacy_ua10_energy_economic_highs,r8-energy-41647084-fe10-439c-bc86-3120b16794a3,2.9644956321417596e-10
2,legacy_ua10_energy_economic_gurobi,r8-energy-98efc3bc-5c1d-40af-8dd6-5d3d518a15c3,2.9644956321417596e-10
7,tie_three_ua10_energy_economic_highs,r8-energy-b6eed093-ea37-473e-98c3-e2715fc8ab23,1.4822478160708798e-10
8,tie_three_ua10_energy_economic_gurobi,r8-energy-bfff1dbe-659a-4bb0-920f-ea40ebebf7d7,6.040919398695705e-10
9,tie_three_ua10_energy_threshold_highs,r8-energy-a7cf6860-85f0-49bf-bea9-7956f16ed73c,1.4822478160708798e-10
10,tie_three_ua10_energy_threshold_gurobi,r8-energy-faeb863d-35af-4a40-b4bf-014c1a206742,1.3224715440387893e-9
11,tie_three_ua10_energy_penalty_highs,r8-energy-4013a06b-65cd-4c8d-93d5-334f471e2cb0,1.4822478160708798e-10
12,tie_three_ua10_energy_penalty_gurobi,r8-energy-a5c05bb2-5fae-42e5-9aee-51382df0fa7f,7.34706413354883e-10
13,shift_four_ua0_detailed_economic_highs,r8-f4f49375-9b0b-4ff1-aee9-510fd8703e1b,7.040438692744895e-9
14,shift_four_ua0_detailed_economic_gurobi,r8-65e95b1b-b36c-4555-a609-3c7c19ceea40,2.55351295663786e-9
15,shift_four_ua0_detailed_threshold_highs,r8-08e5a0bb-eb1e-447d-a248-58d59a2ad936,7.040438692744895e-9
16,shift_four_ua0_detailed_threshold_gurobi,r8-ee2be879-8b78-4566-a4f5-52fd8143bebb,3.0531133177191805e-9
17,shift_four_ua0_detailed_penalty_highs,r8-7af2b250-2893-47b1-991a-7681ed72c314,7.327471962526033e-9
18,shift_four_ua0_detailed_penalty_gurobi,r8-ae773bd0-65dd-4756-8924-2fc77cb79cf9,2.55351295663786e-9
19,shift_four_ua0_energy_economic_highs,r8-energy-8231bd2a-c84b-4156-9e77-ae93db1bb2e6,1.2997732971221345e-8
20,shift_four_ua0_energy_economic_gurobi,r8-energy-222048e1-ecf5-44b9-ae22-ecc37f2d989e,1.1546753136970622e-9
23,shift_four_ua0_energy_penalty_highs,r8-energy-01d58b04-e6b5-483d-b401-50012570f34e,1.2997732971221345e-8
24,shift_four_ua0_energy_penalty_gurobi,r8-energy-be199839-0781-4864-b5b8-f61851ece50f,1.1546753136970622e-9
25,shift_four_ua10_detailed_economic_highs,r8-884fce54-6774-4f87-a165-714fe0544f1f,5.6843418860808015e-8
26,shift_four_ua10_detailed_economic_gurobi,r8-97b2c440-9f45-4366-aa84-9a50054ebcd1,7.362166432045569e-9
27,shift_four_ua10_detailed_threshold_highs,r8-445e3a56-98c4-4771-bd28-e51e1695095e,5.6843418860808015e-8
28,shift_four_ua10_detailed_threshold_gurobi,r8-167d1891-abc6-4bee-83f0-e8669a46f64d,1.2172554630929255e-8
29,shift_four_ua10_detailed_penalty_highs,r8-6070d5e9-5f5c-4806-b81b-f4366b9fd7b8,5.6843418860808015e-8
30,shift_four_ua10_detailed_penalty_gurobi,r8-619d3e39-3057-4fca-9971-d1efc4ec2b81,1.2172554630929255e-8
31,shift_four_ua10_energy_economic_highs,r8-energy-5ff1bd70-3bc4-4002-b0a4-988eed481a35,5.9437549732980945e-8
32,shift_four_ua10_energy_economic_gurobi,r8-energy-82320086-4f2c-47d5-bd34-d26afa47833e,1.2997732971221346e-9
35,shift_four_ua10_energy_penalty_highs,r8-energy-76f10cd8-c5ba-4306-8d7c-0b593f8f2e3b,5.9437549732980945e-8
36,shift_four_ua10_energy_penalty_gurobi,r8-energy-ed9d4dda-3200-4b17-97f6-74712990e69e,1.2997732971221346e-9
