row,column,magnitude
1,3,1.6826248526894742e-18
2,4,1.7545120980982007e-17
3,5,1.149031588666367e-16
4,6,7.586034223833811e-16
5,7,5.057355672383424e-15
6,8,3.8828792006179753e-14
7,9,2.567560603594643e-13
8,10,1.9357215547563263e-12
9,11,1.5585594501019527e-11
10,12,1.4185370983355186e-10
11,13,1.7275675115730247e-9
12,14,1.0519603296045445e-8
13,15,6.366855159785295e-8
14,16,3.8400523053838453e-7
15,17,3.4250376114500875e-6
16,18,2.0866109161768634e-5
17,19,0.00012705911013221027
18,20,0.0007645458533388578
19,21,0.004599559358525066
20,22,0.02766669186444707
21,23,0.16639369316194275
22,24,1.0
23,39,3.484608175548751e-24
24,40,2.0203168009929743e-23
25,41,1.6751768217731013e-22
26,42,1.2918550867582097e-6
27,43,8.889404738503584e-6
28,44,6.246845448695079e-5
29,45,0.000754453551193913
30,46,0.006849350232213195
31,47,0.056362661181059745
32,48,0.3394945303658997
