coordinate,free_column,numerator,denominator,approximate
13,35,0,1,0.0
13,36,0,1,0.0
13,37,0,1,0.0
13,38,0,1,0.0
14,1,0,1,0.0
14,2,0,1,0.0
14,25,0,1,0.0
14,26,0,1,0.0
14,27,0,1,0.0
14,28,0,1,0.0
14,29,0,1,0.0
14,30,0,1,0.0
14,31,0,1,0.0
14,32,0,1,0.0
14,33,0,1,0.0
14,34,0,1,0.0
14,35,0,1,0.0
14,36,0,1,0.0
14,37,0,1,0.0
14,38,0,1,0.0
15,1,0,1,0.0
15,2,0,1,0.0
15,25,0,1,0.0
15,26,0,1,0.0
15,27,0,1,0.0
15,28,0,1,0.0
15,29,0,1,0.0
15,30,0,1,0.0
15,31,0,1,0.0
15,32,0,1,0.0
15,33,0,1,0.0
15,34,0,1,0.0
15,35,0,1,0.0
15,36,0,1,0.0
15,37,0,1,0.0
15,38,0,1,0.0
16,1,0,1,0.0
16,2,0,1,0.0
16,25,0,1,0.0
16,26,0,1,0.0
16,27,0,1,0.0
16,28,0,1,0.0
16,29,0,1,0.0
16,30,0,1,0.0
16,31,0,1,0.0
16,32,0,1,0.0
16,33,0,1,0.0
16,34,0,1,0.0
16,35,0,1,0.0
16,36,0,1,0.0
16,37,0,1,0.0
16,38,0,1,0.0
17,1,0,1,0.0
17,2,0,1,0.0
17,25,0,1,0.0
17,26,0,1,0.0
17,27,0,1,0.0
17,28,0,1,0.0
17,29,0,1,0.0
17,30,0,1,0.0
17,31,0,1,0.0
17,32,0,1,0.0
17,33,0,1,0.0
17,34,0,1,0.0
17,35,0,1,0.0
17,36,0,1,0.0
17,37,0,1,0.0
17,38,0,1,0.0
18,1,0,1,0.0
18,2,0,1,0.0
18,25,0,1,0.0
18,26,0,1,0.0
18,27,0,1,0.0
18,28,0,1,0.0
18,29,0,1,0.0
18,30,0,1,0.0
18,31,0,1,0.0
18,32,0,1,0.0
18,33,0,1,0.0
18,34,0,1,0.0
18,35,0,1,0.0
18,36,0,1,0.0
18,37,0,1,0.0
18,38,0,1,0.0
19,1,0,1,0.0
19,2,0,1,0.0
19,25,0,1,0.0
19,26,0,1,0.0
19,27,0,1,0.0
19,28,0,1,0.0
19,29,0,1,0.0
19,30,0,1,0.0
19,31,0,1,0.0
19,32,0,1,0.0
19,33,0,1,0.0
19,34,0,1,0.0
19,35,0,1,0.0
19,36,0,1,0.0
19,37,0,1,0.0
19,38,0,1,0.0
20,1,0,1,0.0
20,2,0,1,0.0
20,25,0,1,0.0
20,26,0,1,0.0
20,27,0,1,0.0
20,28,0,1,0.0
20,29,0,1,0.0
20,30,0,1,0.0
20,31,0,1,0.0
20,32,0,1,0.0
20,33,0,1,0.0
20,34,0,1,0.0
20,35,0,1,0.0
20,36,0,1,0.0
20,37,0,1,0.0
20,38,0,1,0.0
21,1,0,1,0.0
21,2,0,1,0.0
21,25,0,1,0.0
21,26,0,1,0.0
21,27,0,1,0.0
21,28,0,1,0.0
21,29,0,1,0.0
21,30,0,1,0.0
21,31,0,1,0.0
21,32,0,1,0.0
21,33,0,1,0.0
21,34,0,1,0.0
21,35,0,1,0.0
21,36,0,1,0.0
21,37,0,1,0.0
21,38,0,1,0.0
22,1,0,1,0.0
22,2,0,1,0.0
22,25,0,1,0.0
22,26,0,1,0.0
22,27,0,1,0.0
22,28,0,1,0.0
22,29,0,1,0.0
22,30,0,1,0.0
22,31,0,1,0.0
22,32,0,1,0.0
22,33,0,1,0.0
22,34,0,1,0.0
22,35,0,1,0.0
22,36,0,1,0.0
22,37,0,1,0.0
22,38,0,1,0.0
23,1,0,1,0.0
23,2,0,1,0.0
23,25,0,1,0.0
23,26,0,1,0.0
23,27,0,1,0.0
23,28,0,1,0.0
23,29,0,1,0.0
23,30,0,1,0.0
23,31,0,1,0.0
23,32,0,1,0.0
23,33,0,1,0.0
23,34,0,1,0.0
23,35,0,1,0.0
23,36,0,1,0.0
23,37,0,1,0.0
23,38,0,1,0.0
24,1,0,1,0.0
24,2,0,1,0.0
24,25,0,1,0.0
24,26,0,1,0.0
24,27,0,1,0.0
24,28,0,1,0.0
24,29,0,1,0.0
24,30,0,1,0.0
24,31,0,1,0.0
24,32,0,1,0.0
24,33,0,1,0.0
24,34,0,1,0.0
24,35,0,1,0.0
24,36,0,1,0.0
24,37,0,1,0.0
24,38,0,1,0.0
25,1,0,1,0.0
25,2,0,1,0.0
25,25,1,1,1.0
25,26,0,1,0.0
25,27,0,1,0.0
25,28,0,1,0.0
25,29,0,1,0.0
25,30,0,1,0.0
25,31,0,1,0.0
25,32,0,1,0.0
25,33,0,1,0.0
25,34,0,1,0.0
25,35,0,1,0.0
25,36,0,1,0.0
25,37,0,1,0.0
25,38,0,1,0.0
26,1,0,1,0.0
26,2,0,1,0.0
26,25,0,1,0.0
26,26,1,1,1.0
26,27,0,1,0.0
26,28,0,1,0.0
26,29,0,1,0.0
26,30,0,1,0.0
26,31,0,1,0.0
26,32,0,1,0.0
26,33,0,1,0.0
26,34,0,1,0.0
26,35,0,1,0.0
26,36,0,1,0.0
26,37,0,1,0.0
26,38,0,1,0.0
27,1,0,1,0.0
27,2,0,1,0.0
27,25,0,1,0.0
27,26,0,1,0.0
27,27,1,1,1.0
27,28,0,1,0.0
27,29,0,1,0.0
27,30,0,1,0.0
