run_id,scope,formula,max_ratio,failed,count
vf_vt,model,3-23-kappa,0.0,0,1776
vf_vt,model,3-24,0.0,0,1824
vf_vt,model,3-24-order,0.0,0,912
vf_vt,model,3-26,1.2572925424327939e-10,0,1776
vf_vt,model,3-27,3.013611980132376e-11,0,888
vf_vt,model,3-28,0.0,0,888
vf_vt,model,3-29:32,0.0,0,1776
vf_vt,model,3-30,3.013611980132376e-11,0,888
vf_vt,model,3-31,0.0,0,888
vf_vt,model,3-32,0.0,0,888
vf_vt,model,3-33:34,1.7053025658242404e-9,0,1776
vf_vt,model,3-35:36,1.1368683772161603e-9,0,1824
vf_vt,model,3-37,0.0,0,48
vf_vt,model,3-38,0.0,0,864
vf_vt,model,3-39:40,0.0,0,1776
vf_vt,model,3-3:8,0.0,0,144
vf_vt,model,3-41,0.0,0,7200
vf_vt,model,3-43,0.0,0,912
vf_vt,model,3-7,3.640075490574284e-12,0,120
vf_vt,model,3-9,1.2376256667952566e-10,0,1056
vf_vt,model,R2-grid-bounds,0.0,0,24
vf_vt,model,R2-root-voltage,0.0,0,24
vf_vt,model,R3-cost-field,0.0,0,1
vf_vt,model,R3-objective-cost,1.182496129557681e-10,0,1
vf_vt,model,R3-star-bounds,0.0,0,1776
vf_vt,model,R9-P6-terminal-memory,0.0,0,74
vf_vt,model,R9-V4-flow-memory,0.0,0,37
vf_vt,physics,3-17-original,1.3104271766067423e-10,0,912
vf_vt,physics,3-25,1.2572925424327939e-10,0,1776
vf_vt,physics,R3-mass-replay,1.7053025658242404e-9,0,1776
vf_vt,physics,WMM-replay,1.7053025658242404e-9,0,1776
vf_vt,physics,mix-original,1.1368683772161603e-9,0,1824
vf_vt,physics,pre-SOC-electric,5.551115123125783e-11,0,1032
r9-flow-probe-vf-vt-terminal-free-v1,model,3-1,0.0,0,1
r9-flow-probe-vf-vt-terminal-free-v1,model,3-10,0.0007881252699640012,0,1056
r9-flow-probe-vf-vt-terminal-free-v1,model,3-11,7.113992554763637e-10,0,1032
r9-flow-probe-vf-vt-terminal-free-v1,model,3-12,0.9532500162736236,0,1032
r9-flow-probe-vf-vt-terminal-free-v1,model,3-13,0.0,0,1056
r9-flow-probe-vf-vt-terminal-free-v1,model,3-14,0.0,0,1032
r9-flow-probe-vf-vt-terminal-free-v1,model,3-17,0.00016064309809522815,0,912
r9-flow-probe-vf-vt-terminal-free-v1,model,3-19:20,0.00020116720675412685,0,912
r9-flow-probe-vf-vt-terminal-free-v1,model,3-2,1.4560301962297136e-11,0,24
r9-flow-probe-vf-vt-terminal-free-v1,model,3-21,0.0003259203274841284,0,912
r9-flow-probe-vf-vt-terminal-free-v1,model,3-22,2.5419175314402135e-10,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-23,0.0,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-23-kappa,0.0,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-24,0.0,0,1824
r9-flow-probe-vf-vt-terminal-free-v1,model,3-24-order,0.0,0,912
r9-flow-probe-vf-vt-terminal-free-v1,model,3-26,6.559787177910227e-11,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-27,0.0004827865684987776,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-28,0.0,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-29:32,0.0,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-30,0.0004827865684987776,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-31,0.0,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-32,0.0,0,888
r9-flow-probe-vf-vt-terminal-free-v1,model,3-33:34,8.146571417455561e-5,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-35:36,0.00019230128600611351,0,1824
r9-flow-probe-vf-vt-terminal-free-v1,model,3-37,0.0,0,48
r9-flow-probe-vf-vt-terminal-free-v1,model,3-38,0.0,0,864
r9-flow-probe-vf-vt-terminal-free-v1,model,3-39:40,0.0,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,3-3:8,1.4560301962297136e-11,0,144
r9-flow-probe-vf-vt-terminal-free-v1,model,3-41,0.0,0,7200
r9-flow-probe-vf-vt-terminal-free-v1,model,3-43,0.0,0,912
r9-flow-probe-vf-vt-terminal-free-v1,model,3-7,7.263290151476227e-5,0,120
r9-flow-probe-vf-vt-terminal-free-v1,model,3-9,0.00011103476608099539,0,1056
r9-flow-probe-vf-vt-terminal-free-v1,model,R2-grid-bounds,0.0,0,24
r9-flow-probe-vf-vt-terminal-free-v1,model,R2-root-voltage,0.0,0,24
r9-flow-probe-vf-vt-terminal-free-v1,model,R3-cost-field,0.0,0,1
r9-flow-probe-vf-vt-terminal-free-v1,model,R3-objective-cost,4.959751991478753e-5,0,1
r9-flow-probe-vf-vt-terminal-free-v1,model,R3-star-bounds,0.0,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,model,R9-P6-terminal-memory,194623.0528783809,74,74
r9-flow-probe-vf-vt-terminal-free-v1,model,R9-V4-flow-memory,6.027223960264752e-11,0,37
r9-flow-probe-vf-vt-terminal-free-v1,physics,3-17-original,0.00016064309809522815,0,912
r9-flow-probe-vf-vt-terminal-free-v1,physics,3-25,7.653085040895266e-11,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,physics,R3-mass-replay,8.146571417455561e-5,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,physics,WMM-replay,8.146571417455561e-5,0,1776
r9-flow-probe-vf-vt-terminal-free-v1,physics,mix-original,0.00019230128600611351,0,1824
r9-flow-probe-vf-vt-terminal-free-v1,physics,pre-SOC-electric,0.9532500162736236,0,1032
r9-flow-probe-vf-vt-presolve-off-v1,model,3-1,0.0,0,1
r9-flow-probe-vf-vt-presolve-off-v1,model,3-10,7.280150981148567e-11,0,1056
r9-flow-probe-vf-vt-presolve-off-v1,model,3-11,2.3300171725159453e-10,0,1032
r9-flow-probe-vf-vt-presolve-off-v1,model,3-12,5.551115123125783e-11,0,1032
r9-flow-probe-vf-vt-presolve-off-v1,model,3-13,0.0,0,1056
r9-flow-probe-vf-vt-presolve-off-v1,model,3-14,0.0,0,1032
r9-flow-probe-vf-vt-presolve-off-v1,model,3-17,1.3104271766067423e-10,0,912
r9-flow-probe-vf-vt-presolve-off-v1,model,3-19:20,1.4560301962297136e-11,0,912
r9-flow-probe-vf-vt-presolve-off-v1,model,3-2,1.4560301962297136e-11,0,24
r9-flow-probe-vf-vt-presolve-off-v1,model,3-21,2.410889584105901e-10,0,912
r9-flow-probe-vf-vt-presolve-off-v1,model,3-22,0.0,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-23,0.0,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-23-kappa,0.0,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-24,0.0,0,1824
r9-flow-probe-vf-vt-presolve-off-v1,model,3-24-order,0.0,0,912
r9-flow-probe-vf-vt-presolve-off-v1,model,3-26,1.2572925424327939e-10,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-27,3.013611980132376e-11,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-28,0.0,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-29:32,0.0,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-30,3.013611980132376e-11,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-31,0.0,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-32,0.0,0,888
r9-flow-probe-vf-vt-presolve-off-v1,model,3-33:34,1.7053025658242404e-9,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-35:36,1.1368683772161603e-9,0,1824
r9-flow-probe-vf-vt-presolve-off-v1,model,3-37,0.0,0,48
r9-flow-probe-vf-vt-presolve-off-v1,model,3-38,0.0,0,864
r9-flow-probe-vf-vt-presolve-off-v1,model,3-39:40,0.0,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,3-3:8,0.0,0,144
r9-flow-probe-vf-vt-presolve-off-v1,model,3-41,0.0,0,7200
r9-flow-probe-vf-vt-presolve-off-v1,model,3-43,0.0,0,912
r9-flow-probe-vf-vt-presolve-off-v1,model,3-7,3.640075490574284e-12,0,120
r9-flow-probe-vf-vt-presolve-off-v1,model,3-9,1.2376256667952566e-10,0,1056
r9-flow-probe-vf-vt-presolve-off-v1,model,R2-grid-bounds,0.0,0,24
r9-flow-probe-vf-vt-presolve-off-v1,model,R2-root-voltage,0.0,0,24
r9-flow-probe-vf-vt-presolve-off-v1,model,R3-cost-field,0.0,0,1
r9-flow-probe-vf-vt-presolve-off-v1,model,R3-objective-cost,1.182496129557681e-10,0,1
r9-flow-probe-vf-vt-presolve-off-v1,model,R3-star-bounds,0.0,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,model,R9-P6-terminal-memory,0.0,0,74
r9-flow-probe-vf-vt-presolve-off-v1,model,R9-V4-flow-memory,0.0,0,37
r9-flow-probe-vf-vt-presolve-off-v1,physics,3-17-original,1.3104271766067423e-10,0,912
r9-flow-probe-vf-vt-presolve-off-v1,physics,3-25,1.2572925424327939e-10,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,physics,R3-mass-replay,1.7053025658242404e-9,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,physics,WMM-replay,1.7053025658242404e-9,0,1776
r9-flow-probe-vf-vt-presolve-off-v1,physics,mix-original,1.1368683772161603e-9,0,1824
r9-flow-probe-vf-vt-presolve-off-v1,physics,pre-SOC-electric,5.551115123125783e-11,0,1032
