equation,scope,entity,t,residual,unit,tolerance,pass
3-11,model,2,4,8.177107842027246e-17,pu2,1.0e-6,true
3-12,model,2,4,0.0,pu,1.0e-6,true
pre-SOC-electric,physics,2,4,1.9889942574902175e-9,pu,1.0e-6,true
3-14,model,2,4,0.0,pu2,1.0e-6,true
R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
3-21,model,1,1,0.0,kg/s,4.0e-6,true
3-43,model,1,1,0.0,kg/s,4.0e-6,true
3-17,model,1,1,3.608224830031759e-16,MW,3.0e-6,true
3-17-original,physics,1,1,3.608224830031759e-16,MW,3.0e-6,true
3-19:20,model,1,1,5.551115123125783e-16,MW,3.0e-6,true
3-37,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-24-order,model,1,1,0.0,normalized,1.0e-6,true
3-21,model,1,2,0.0,kg/s,4.0e-6,true
3-43,model,1,2,0.0,kg/s,4.0e-6,true
3-17,model,1,2,0.0,MW,3.0e-6,true
3-17-original,physics,1,2,0.0,MW,3.0e-6,true
3-19:20,model,1,2,9.103828801926284e-15,MW,3.0e-6,true
3-37,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-24-order,model,1,2,0.0,normalized,1.0e-6,true
3-21,model,1,3,0.0,kg/s,4.0e-6,true
3-43,model,1,3,0.0,kg/s,4.0e-6,true
3-17,model,1,3,5.551115123125783e-17,MW,3.0e-6,true
3-17-original,physics,1,3,5.551115123125783e-17,MW,3.0e-6,true
3-19:20,model,1,3,9.103828801926284e-15,MW,3.0e-6,true
3-37,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-24-order,model,1,3,0.0,normalized,1.0e-6,true
3-21,model,1,4,0.0,kg/s,4.0e-6,true
3-43,model,1,4,0.0,kg/s,4.0e-6,true
3-17,model,1,4,1.6653345369377348e-16,MW,3.0e-6,true
3-17-original,physics,1,4,1.6653345369377348e-16,MW,3.0e-6,true
3-19:20,model,1,4,5.551115123125783e-16,MW,3.0e-6,true
3-37,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-24-order,model,1,4,0.0,normalized,1.0e-6,true
3-21,model,2,1,0.0,kg/s,4.0e-6,true
3-43,model,2,1,0.0,kg/s,4.0e-6,true
3-17,model,2,1,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,2,1,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,2,1,2.7755575615628914e-17,MW,3.0e-6,true
3-37,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-24-order,model,2,1,0.0,normalized,1.0e-6,true
3-21,model,2,2,1.3322676295501878e-15,kg/s,4.0e-6,true
3-43,model,2,2,0.0,kg/s,4.0e-6,true
3-17,model,2,2,4.163336342344337e-17,MW,3.0e-6,true
3-17-original,physics,2,2,4.163336342344337e-17,MW,3.0e-6,true
3-19:20,model,2,2,8.56259507742152e-15,MW,3.0e-6,true
3-37,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-24-order,model,2,2,0.0,normalized,1.0e-6,true
3-21,model,2,3,1.7763568394002505e-15,kg/s,4.0e-6,true
3-43,model,2,3,0.0,kg/s,4.0e-6,true
3-17,model,2,3,4.163336342344337e-17,MW,3.0e-6,true
3-17-original,physics,2,3,4.163336342344337e-17,MW,3.0e-6,true
3-19:20,model,2,3,8.576472865229334e-15,MW,3.0e-6,true
3-37,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-24-order,model,2,3,0.0,normalized,1.0e-6,true
3-21,model,2,4,2.220446049250313e-16,kg/s,4.0e-6,true
3-43,model,2,4,0.0,kg/s,4.0e-6,true
3-17,model,2,4,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,2,4,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,2,4,2.7755575615628914e-17,MW,3.0e-6,true
3-37,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-24-order,model,2,4,0.0,normalized,1.0e-6,true
3-21,model,3,1,0.0,kg/s,4.0e-6,true
3-43,model,3,1,0.0,kg/s,4.0e-6,true
3-17,model,3,1,4.996003610813204e-16,MW,3.0e-6,true
3-17-original,physics,3,1,4.996003610813204e-16,MW,3.0e-6,true
3-19:20,model,3,1,0.0,MW,3.0e-6,true
3-38,model,3,1,0.0,K,0.0001,true
R2-load-return,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-24,model,3,1,0.0,kPa,0.001,true
3-41,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-24,model,3,1,0.0,kPa,0.001,true
3-24-order,model,3,1,0.0,normalized,1.0e-6,true
3-21,model,3,2,0.0,kg/s,4.0e-6,true
3-43,model,3,2,0.0,kg/s,4.0e-6,true
3-17,model,3,2,1.1102230246251565e-16,MW,3.0e-6,true
3-17-original,physics,3,2,1.1102230246251565e-16,MW,3.0e-6,true
3-19:20,model,3,2,0.0,MW,3.0e-6,true
3-38,model,3,2,0.0,K,0.0001,true
R2-load-return,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-24,model,3,2,0.0,kPa,0.001,true
3-41,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-24,model,3,2,0.0,kPa,0.001,true
3-24-order,model,3,2,0.0,normalized,1.0e-6,true
3-21,model,3,3,0.0,kg/s,4.0e-6,true
3-43,model,3,3,0.0,kg/s,4.0e-6,true
3-17,model,3,3,2.7755575615628914e-16,MW,3.0e-6,true
3-17-original,physics,3,3,2.7755575615628914e-16,MW,3.0e-6,true
3-19:20,model,3,3,0.0,MW,3.0e-6,true
3-38,model,3,3,0.0,K,0.0001,true
R2-load-return,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-24,model,3,3,0.0,kPa,0.001,true
3-41,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-24,model,3,3,0.0,kPa,0.001,true
3-24-order,model,3,3,0.0,normalized,1.0e-6,true
3-21,model,3,4,0.0,kg/s,4.0e-6,true
3-43,model,3,4,0.0,kg/s,4.0e-6,true
3-17,model,3,4,3.885780586188048e-16,MW,3.0e-6,true
3-17-original,physics,3,4,3.885780586188048e-16,MW,3.0e-6,true
3-19:20,model,3,4,0.0,MW,3.0e-6,true
3-38,model,3,4,0.0,K,0.0001,true
R2-load-return,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-24,model,3,4,0.0,kPa,0.001,true
3-41,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-24,model,3,4,0.0,kPa,0.001,true
3-24-order,model,3,4,0.0,normalized,1.0e-6,true
3-35:36,model,S1,1,0.0,K,0.0001,true
mix-original,physics,S1,1,0.0,K,0.0001,true
3-35:36,model,S1,2,5.684341886080802e-14,K,0.0001,true
mix-original,physics,S1,2,5.684341886080802e-14,K,0.0001,true
3-35:36,model,S1,3,0.0,K,0.0001,true
mix-original,physics,S1,3,0.0,K,0.0001,true
3-35:36,model,S1,4,0.0,K,0.0001,true
mix-original,physics,S1,4,0.0,K,0.0001,true
3-35:36,model,S2,1,1.1368683772161603e-13,K,0.0001,true
mix-original,physics,S2,1,1.1368683772161603e-13,K,0.0001,true
3-35:36,model,S2,2,5.684341886080802e-14,K,0.0001,true
mix-original,physics,S2,2,5.684341886080802e-14,K,0.0001,true
3-35:36,model,S2,3,0.0,K,0.0001,true
mix-original,physics,S2,3,0.0,K,0.0001,true
3-35:36,model,S2,4,5.684341886080802e-14,K,0.0001,true
mix-original,physics,S2,4,5.684341886080802e-14,K,0.0001,true
3-35:36,model,S3,1,0.0,K,0.0001,true
mix-original,physics,S3,1,0.0,K,0.0001,true
