run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160848-af0213ba,1,1.0,1,343.0000000036569,312.80260225513507,0.1902436056467836,1.4999999986682522
r2-20260916T160848-af0213ba,1,1.0,2,345.0925632779037,312.9168336411191,0.07799682454555865,0.6173110994893791
r2-20260916T160848-af0213ba,1,1.0,3,346.73551080458833,313.0,0.3,2.1173110981576313
r2-20260916T160848-af0213ba,2,2.0,1,362.99999997437686,312.80379216804903,0.31623610901214944,1.4999999992044746
r2-20260916T160848-af0213ba,2,2.0,2,352.57649768533565,312.9175041375503,0.06720640442608192,0.5319214469079278
r2-20260916T160848-af0213ba,2,2.0,3,350.4967626510604,313.0,0.32,2.0319214461124036
r2-20260916T160848-af0213ba,3,3.0,1,362.99999999562505,312.78708669669203,0.2618638303118263,1.2416832031920793
r2-20260916T160848-af0213ba,3,3.0,2,362.6861595418068,312.908811184419,0.10519149661086265,0.5000000006852251
r2-20260916T160848-af0213ba,3,3.0,3,359.4793946293827,313.0,0.34,1.7416832038773062
r2-20260916T160848-af0213ba,4,4.0,1,362.9999996679212,312.7637700070497,0.25043068160688237,1.1869193441876833
r2-20260916T160848-af0213ba,4,4.0,2,356.7254252369743,312.9002250954661,0.06320952763723309,0.5000000010114863
r2-20260916T160848-af0213ba,4,4.0,3,358.1654528755675,313.0,0.32,1.68691934519917
