run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160848-8e386256,1,1.0,1,353.58411534336096,314.13525580949624,0.17832285692529515,1.0598402621049905
r2-20260916T160848-8e386256,1,1.0,2,353.50604520687784,321.80319364105907,0.04451329586612766,0.500000017319061
r2-20260916T160848-8e386256,1,1.0,3,356.58708738016355,313.0,0.3,1.5598402794244508
r2-20260916T160848-8e386256,2,2.0,1,362.99999976904047,308.28248328095816,0.33362726866799874,1.367939481872353
r2-20260916T160848-8e386256,2,2.0,2,359.5988752917527,306.65789751146286,0.07631841851768323,0.5000000215930893
r2-20260916T160848-8e386256,2,2.0,3,356.30114563575876,313.0,0.32,1.867939503465756
r2-20260916T160848-8e386256,3,3.0,1,362.9999997947083,306.8844187575394,0.3535277165870825,1.4999947361471555
r2-20260916T160848-8e386256,3,3.0,2,362.2202380511372,306.7873367692263,0.07604659615540402,0.5000000229323686
r2-20260916T160848-8e386256,3,3.0,3,357.4238468612328,313.0,0.34,1.9999947590806146
r2-20260916T160848-8e386256,4,4.0,1,362.99999838865136,312.96729364976136,0.27859310786857505,1.1885890465084796
r2-20260916T160848-8e386256,4,4.0,2,360.61470275657416,320.5395764410754,0.04716689162049058,0.5000000137649147
r2-20260916T160848-8e386256,4,4.0,3,358.0892037468473,313.0,0.32,1.6885890602735218
