equation,scope,entity,t,residual,unit,tolerance,pass
3-11,model,2,4,5.3117753759672395e-17,pu2,1.0e-6,true
3-12,model,2,4,0.0,pu,1.0e-6,true
pre-SOC-electric,physics,2,4,3.381414755837531e-8,pu,1.0e-6,true
3-14,model,2,4,0.0,pu2,1.0e-6,true
R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
3-21,model,1,1,0.0,kg/s,4.0e-6,true
3-43,model,1,1,0.0,kg/s,4.0e-6,true
3-17,physics,1,1,0.002723000487215771,MW,3.0e-6,false
3-17-original,physics,1,1,0.002723000487215771,MW,3.0e-6,false
3-42,model,1,1,0.0,MW,3.0e-6,true
3-19:20,model,1,1,3.1313562853796384e-11,MW,3.0e-6,true
3-37,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-24-order,model,1,1,0.0,normalized,1.0e-6,true
3-21,model,1,2,0.0,kg/s,4.0e-6,true
3-43,model,1,2,0.0,kg/s,4.0e-6,true
3-17,physics,1,2,0.019256213820991908,MW,3.0e-6,false
3-17-original,physics,1,2,0.019256213820991908,MW,3.0e-6,false
3-42,model,1,2,0.0,MW,3.0e-6,true
3-19:20,model,1,2,9.50617362605044e-12,MW,3.0e-6,true
3-37,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-24-order,model,1,2,0.0,normalized,1.0e-6,true
3-21,model,1,3,0.0,kg/s,4.0e-6,true
3-43,model,1,3,0.0,kg/s,4.0e-6,true
3-17,physics,1,3,7.966663940206509e-7,MW,3.0e-6,true
3-17-original,physics,1,3,7.966663940206509e-7,MW,3.0e-6,true
3-42,model,1,3,0.0,MW,3.0e-6,true
