record_id,run_id,iteration,source_id,scenario,branch,kind,source_value,guard,lower_cost,deactivation_M,productive,arithmetic,unit,certificate_scope
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,5,r5-benders-sub-0fe6bae0-c629-49cd-bf9a-5922be80b551,1,0,cost,41.81316350409442,2.066800695451267e-13,-450.00000008135,491.81316358544444,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,5,r5-benders-sub-cccd0c29-016d-45bb-bd4e-fc1815643dc5,2,0,cost,51.45617598976826,2.0757062364094475e-13,-450.000000081336,508.6561760711043,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,5,r5-benders-sub-9637e4e8-2b12-491f-972f-fc7a25acdbfd,3,1,cost,37.173205449043564,2.0293573711599453e-13,-450.000000081343,488.7732055303866,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,6,r5-benders-sub-53062538-3d74-4ebf-9709-e7ee7c890919,1,0,cost,7.202821994232593,2.4077961846558082e-15,-450.00000008135,474.90000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,6,r5-benders-sub-e5c27f47-67b3-4811-a3b0-ac4e11c62d71,2,1,cost,15.670025871317971,1.9935564885826004e-13,-450.000000081336,518.6523320605378,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,6,r5-benders-sub-4814c946-b5f6-4176-b758-72c0a48277e5,3,0,cost,12.15345761394036,2.0281233543933442e-13,-450.000000081343,542.8598508002019,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,7,r5-benders-sub-e1cae881-ee93-4e88-9ec4-d30304d14eb5,1,0,cost,11.978019588845433,2.26554885962571e-15,-450.00000008135,474.80000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,7,r5-benders-sub-0d47fb65-41e6-4780-8d16-1aac2b5b6c84,2,1,cost,13.60023254447811,1.3291031452455175e-13,-450.000000081336,508.31596876512526,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,7,r5-benders-sub-303fcfda-d13c-4701-bbd4-d72e209e4f2a,3,0,cost,30.578910734853594,1.6001332820639427e-12,-450.000000081343,2095.279226577838,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,8,r5-benders-sub-3ea608ee-82bb-477a-b1a3-c51779418658,1,0,cost,2.357750635252941,1.241903922531881e-13,-450.00000008135,469.4409108828785,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,8,r5-benders-sub-ea9cacb0-86bb-4c74-a8e1-bbf79a9748ec,2,0,cost,0.11261615944571446,1.755248614470046e-13,-450.000000081336,513.5057556000979,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,8,r5-benders-sub-1a44cb99-366f-4685-97e6-0016a42826c0,3,1,cost,19.965694214525058,3.268962803492765e-12,-450.000000081343,2010.8072900339828,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,9,r5-benders-sub-f0c7cfec-311c-4a88-93d2-806e2d19a99a,1,0,cost,10.942661331090125,5.516420653606247e-16,-450.00000008135,484.00000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,9,r5-benders-sub-90665388-15b4-4c8c-95c0-0d41ad38083e,2,0,cost,19.03772722547887,1.7387178342638975e-13,-450.000000081336,506.55858954867387,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
