record_id,run_id,phase,iteration,scenario,group,id,entity,t,residual,tolerance,normalized,pass,unit
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,branch,z-binary,"",0,0.0,1.0e-6,0.0,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,comfort_link,down/1/1,"",0,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,comfort_link,none/1/1,"",0,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,comfort_link,up/1/1,"",0,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,cost,model-objective,"",0,0.0,2.085000000029242e-6,0.0,true,USD
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,cost,policy-upper,"",0,0.0,2.085000000029242e-6,0.0,true,USD
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,embedded,cost/dual-rows,"",0,0.0,1.0e-6,0.0,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,embedded,cost/dual-sign,"",0,0.0,1.0e-6,0.0,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,embedded,risk/dual-rows,"",0,8.906861301122584e-13,1.0e-8,8.906861301122584e-5,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,embedded,risk/dual-sign,"",0,0.0,1.0e-8,0.0,true,1
