case,cost_best,cost_median,cost_worst,distinct_initial_groups_A1,elapsed_sec_best,elapsed_sec_median,elapsed_sec_worst,initial_count,numeric_stop_count,physical_pass_count,physical_pass_rate,version
single-source,78.1378781115549,78.33546385619212,80.32923654815337,4,1.0897373000043444,1.961702000000514,30.562112400017213,5,0,5,1.0,v1
single-source,77.04112103768406,77.04791335360704,78.96134002313596,4,43.81395529999281,65.01735700000427,88.05688180000288,5,0,5,1.0,v2
two-source,180.0163435666185,181.040640552009,185.7265002114475,4,0.9057863999914844,2.371523600013461,4.021806900011143,5,0,5,1.0,v1
two-source,177.37624732723242,177.40495786024877,177.6027930885013,4,39.21147270000074,67.65067249999265,75.26390690001426,5,0,5,1.0,v2
