absolute_change,cost,id,iteration,mode,model_pass,original_outer_status,paper_form_epsilon_0.0001,paper_form_epsilon_0.01,paper_form_epsilon_1.0e-6,physical_pass,project_stop,projected_gradient_norm,relative_change,small_accepted_before,smooth,stage,trusted_sensitivity
,,single-source-schpd-physical,0,diagnostic,true,untrusted_sensitivity,,,,false,false,0.17448696401749608,,0,true,2,true
,80.7856349224336,single-source-schpd-physical,1,dispatch,true,untrusted_sensitivity,,,,false,false,0.008885135004859102,,0,true,5,true
1.2482651599319468,79.53736976250165,single-source-schpd-physical,2,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.010826426389977772,0.015451573304220109,0,true,11,true
0.6288948609061293,78.90847490159553,single-source-schpd-physical,3,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.012025010601532382,0.007906910459624293,0,true,19,true
0.32141014406353463,78.58706475753199,single-source-schpd-physical,4,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.012694844923427984,0.0040732018260948005,0,true,29,true
0.1631574110545131,78.42390734647748,single-source-schpd-physical,5,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.01304952422572625,0.002076135704494239,0,true,41,true
0.08228639895546053,78.34162094752202,single-source-schpd-physical,6,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013232106856640113,0.0010492514558337234,0,true,55,true
0.020647448300721294,78.3209734992213,single-source-schpd-physical,7,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013278319202683408,0.0002635565622844619,0,true,73,true
0.010342363833984791,78.31063113538731,single-source-schpd-physical,8,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013301528416138297,0.00013205101228839578,0,true,93,true
0.005213191182491528,78.30541794420482,single-source-schpd-physical,9,dispatch,true,untrusted_sensitivity,false,true,false,false,false,,6.657066999598948e-5,0,false,115,false
,,single-source-schpd-normalized,0,diagnostic,true,untrusted_sensitivity,,,,false,false,0.17448696401749608,,0,true,2,true
,80.7856349224336,single-source-schpd-normalized,1,dispatch,true,untrusted_sensitivity,,,,false,false,0.008885135004859102,,0,true,5,true
1.2482651599319468,79.53736976250165,single-source-schpd-normalized,2,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.010826426389977772,0.015451573304220109,0,true,11,true
0.6288948609061293,78.90847490159553,single-source-schpd-normalized,3,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.012025010601532382,0.007906910459624293,0,true,19,true
0.32141014406353463,78.58706475753199,single-source-schpd-normalized,4,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.012694844923427984,0.0040732018260948005,0,true,29,true
0.1631574110545131,78.42390734647748,single-source-schpd-normalized,5,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.01304952422572625,0.002076135704494239,0,true,41,true
0.08228639895546053,78.34162094752202,single-source-schpd-normalized,6,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013232106856640113,0.0010492514558337234,0,true,55,true
0.020647448300721294,78.3209734992213,single-source-schpd-normalized,7,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013278319202683408,0.0002635565622844619,0,true,73,true
0.010342363833984791,78.31063113538731,single-source-schpd-normalized,8,dispatch,true,untrusted_sensitivity,false,false,false,false,false,0.013301528416138297,0.00013205101228839578,0,true,93,true
0.005213191182491528,78.30541794420482,single-source-schpd-normalized,9,dispatch,true,untrusted_sensitivity,false,true,false,false,false,,6.657066999598948e-5,0,false,115,false
,80.18286341908787,single-source-case_fixed-physical,0,dispatch,true,line_search_stalled,,,,false,false,0.011493146206686511,,0,true,1,true
1.53991072376688,78.64295269532099,single-source-case_fixed-physical,1,dispatch,true,line_search_stalled,false,false,false,false,false,0.012778755958882337,0.019204985430843292,0,true,5,true
0.40961218551377954,78.2333405098072,single-source-case_fixed-physical,2,dispatch,true,line_search_stalled,false,false,false,false,false,0.013735709346416325,0.005208504659034123,0,true,15,true
0.050849014871971576,78.18249149493523,single-source-case_fixed-physical,3,dispatch,true,line_search_stalled,false,false,false,false,false,0.013858846367822863,0.0006499660444078472,0,true,31,true
0.025442153421778357,78.15704934151346,single-source-case_fixed-physical,4,dispatch,true,line_search_stalled,false,false,false,false,false,0.013920804442772883,0.00032542009003929653,0,true,49,true
0.01272650942055975,78.1443228320929,single-source-case_fixed-physical,5,dispatch,true,line_search_stalled,false,false,false,false,false,0.01395187427090816,0.00016283252154198214,0,true,69,true
0.006365177152801493,78.1379576549401,single-source-case_fixed-physical,6,dispatch,true,line_search_stalled,false,true,false,false,false,0.013967397460839193,8.145412132469584e-5,0,true,91,true
0.0031835538959228415,78.13477410104417,single-source-case_fixed-physical,7,dispatch,true,line_search_stalled,false,true,false,false,false,0.013975198413333945,4.074273236039167e-5,0,true,115,true
0.00159252195741999,78.13318157908675,single-source-case_fixed-physical,8,dispatch,true,line_search_stalled,false,true,false,false,false,0.013979113740889004,2.0381731127302357e-5,0,true,141,true
,80.18286341908787,single-source-case_fixed-normalized,0,dispatch,true,line_search_stalled,,,,false,false,0.011493146206686511,,0,true,1,true
1.53991072376688,78.64295269532099,single-source-case_fixed-normalized,1,dispatch,true,line_search_stalled,false,false,false,false,false,0.012778755958882337,0.019204985430843292,0,true,5,true
0.40961218551377954,78.2333405098072,single-source-case_fixed-normalized,2,dispatch,true,line_search_stalled,false,false,false,false,false,0.013735709346416325,0.005208504659034123,0,true,15,true
0.050849014871971576,78.18249149493523,single-source-case_fixed-normalized,3,dispatch,true,line_search_stalled,false,false,false,false,false,0.013858846367822863,0.0006499660444078472,0,true,31,true
0.025442153421778357,78.15704934151346,single-source-case_fixed-normalized,4,dispatch,true,line_search_stalled,false,false,false,false,false,0.013920804442772883,0.00032542009003929653,0,true,49,true
0.01272650942055975,78.1443228320929,single-source-case_fixed-normalized,5,dispatch,true,line_search_stalled,false,false,false,false,false,0.01395187427090816,0.00016283252154198214,0,true,69,true
0.006365177152801493,78.1379576549401,single-source-case_fixed-normalized,6,dispatch,true,line_search_stalled,false,true,false,false,false,0.013967397460839193,8.145412132469584e-5,0,true,91,true
0.0031835538959228415,78.13477410104417,single-source-case_fixed-normalized,7,dispatch,true,line_search_stalled,false,true,false,false,false,0.013975198413333945,4.074273236039167e-5,0,true,115,true
0.00159252195741999,78.13318157908675,single-source-case_fixed-normalized,8,dispatch,true,line_search_stalled,false,true,false,false,false,0.013979113740889004,2.0381731127302357e-5,0,true,141,true
