accepted_updates,algorithm,boundary,case_group,core_cost,core_periods,core_sha256,cost_optimization_complete,elapsed_sec,epsilon_0.0001_first_update,epsilon_0.01_first_update,epsilon_1.0e-6_first_update,first_feasible_iteration,geometry,group,id,initial_diagnostic,initial_displacement,initial_flow_sha256,initial_label,initial_model_pass,input_sha256,iterations,method,model_cost,outer_converged,outer_status,periods,physical_cost,physical_pass,run_id,selected_stage,strict_redispatch_success,tail_cost,terminal_required
4,r3_paper_structure_v1,legacy_tail,single-source,NaN,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,4.093382099992596,-1,-1,-1,4,physical_euclidean,boundary,single-source-legacy_tail-physical,0.00742724719548382,0.1,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,historical-VF_CT,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,5,baseline,146.03258188121853,false,untrusted_sensitivity,10,NaN,false,single-source-legacy_tail-physical,34,false,NaN,true
4,r3_paper_structure_v1,legacy_tail,single-source,NaN,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,1.173918299988145,-1,-1,-1,4,normalized_euclidean,boundary,single-source-legacy_tail-normalized,0.00742724719548382,0.1,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,historical-VF_CT,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,5,baseline,146.03258188121853,false,untrusted_sensitivity,10,NaN,false,single-source-legacy_tail-normalized,34,false,NaN,true
0,r3_cost_reference_v1,legacy_tail,single-source,31.865880247906148,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,true,0.6305020000145305,-1,-1,-1,-1,reference,reference,single-source-legacy_tail-reference,NaN,NaN,not_applicable,none,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,0,reference,NaN,false,not_applicable_direct_reference,10,145.16091036241147,true,single-source-legacy_tail-reference,1,true,113.29503011450531,true
5,r3_paper_structure_v1,bounded_return_tail,single-source,32.26665915628212,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,2.395401599991601,-1,5,-1,1,physical_euclidean,boundary,single-source-bounded_return_tail-physical,0.0073820917671460415,0.1,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,historical-VF_CT,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,6,baseline,145.53859554442477,false,line_search_stalled,10,145.53859554442477,true,single-source-bounded_return_tail-physical,54,true,113.27193638814268,true
5,r3_paper_structure_v1,bounded_return_tail,single-source,32.26665915628212,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,2.436312000005273,-1,5,-1,1,normalized_euclidean,boundary,single-source-bounded_return_tail-normalized,0.0073820917671460415,0.1,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,historical-VF_CT,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,6,baseline,145.53859554442477,false,line_search_stalled,10,145.53859554442477,true,single-source-bounded_return_tail-normalized,54,true,113.27193638814268,true
0,r3_cost_reference_v1,bounded_return_tail,single-source,31.84621252549946,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,true,0.5750837000086904,-1,-1,-1,-1,reference,reference,single-source-bounded_return_tail-reference,NaN,NaN,not_applicable,none,false,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,0,reference,NaN,false,not_applicable_direct_reference,10,145.02000007475226,true,single-source-bounded_return_tail-reference,1,true,113.17378754925281,true
5,r3_paper_structure_v1,core_only,single-source,32.26675526628817,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,0.8657288999820594,-1,5,-1,1,physical_euclidean,boundary,single-source-core_only-physical,0.007382091805635563,0.1,ea536330b35aba6ae0ee547fb6d10071113ac1ee7d887a2da5540bd7e3f1cb9d,historical-VF_CT,false,8138836c33f24662745ed4b7a5ec54dc2def235d19ab30da71a8abe34625becd,6,baseline,32.26141101743488,false,untrusted_sensitivity,4,32.26675526628817,true,single-source-core_only-physical,36,true,0.0,false
5,r3_paper_structure_v1,core_only,single-source,32.26675526628817,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,false,0.894985999999335,-1,5,-1,1,normalized_euclidean,boundary,single-source-core_only-normalized,0.007382091805635563,0.1,ea536330b35aba6ae0ee547fb6d10071113ac1ee7d887a2da5540bd7e3f1cb9d,historical-VF_CT,false,8138836c33f24662745ed4b7a5ec54dc2def235d19ab30da71a8abe34625becd,6,baseline,32.26141101743488,false,untrusted_sensitivity,4,32.26675526628817,true,single-source-core_only-normalized,36,true,0.0,false
0,r3_cost_reference_v1,core_only,single-source,31.846211362040933,4,596660a9047448f61b8229976f3fa5944c3ccc191a1dc7604d8437db108e7d81,true,0.19832870000391267,-1,-1,-1,-1,reference,reference,single-source-core_only-reference,NaN,NaN,not_applicable,none,false,8138836c33f24662745ed4b7a5ec54dc2def235d19ab30da71a8abe34625becd,0,reference,NaN,false,not_applicable_direct_reference,4,31.846211362040933,true,single-source-core_only-reference,1,true,0.0,false
8,r3_paper_structure_v1,original,single-source,79.82708900503249,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,false,1.7820834000012837,-1,5,-1,1,physical_euclidean,step,single-source-schpd-step001,0.0021278183145210477,0.01,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,schpd,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,79.82708900503249,false,untrusted_sensitivity,4,79.82708900503249,true,single-source-schpd-step001,100,true,0.0,false
