accepted,backtrack,direction_norm,gamma,id,iteration,merit,projected_gradient_norm,reason
false,0,0.0999997672360774,0.5731087584164809,single-source-schpd-physical,1,0.006899621661311472,0.17448696401749608,insufficient_decrease
true,1,0.049999544768134396,0.28655437920824045,single-source-schpd-physical,1,0.05356427192841374,0.17448696401749608,actual_improvement
false,0,0.1000001516010709,11.254322458477546,single-source-schpd-physical,2,0.00048045249220364695,0.008885135004859102,insufficient_decrease
true,1,0.04999980524200587,5.627161229238773,single-source-schpd-physical,2,0.05273661965422467,0.008885135004859102,actual_improvement
false,0,0.10000040893858964,9.236512553353972,single-source-schpd-physical,3,0.01256262310168773,0.010826426389977772,insufficient_decrease
false,1,0.05000014553203935,4.618256276676986,single-source-schpd-physical,3,0.00042558202126215873,0.010826426389977772,insufficient_decrease
true,2,0.024999949470771554,2.309128138338493,single-source-schpd-physical,3,0.05231963592467546,0.010826426389977772,actual_improvement
false,0,0.10000023834512317,8.316017744228132,single-source-schpd-physical,4,0.018580428193922145,0.012025010601532382,insufficient_decrease
false,1,0.050000379760192226,4.158008872114066,single-source-schpd-physical,4,0.006497577805067009,0.012025010601532382,insufficient_decrease
false,2,0.025000143540516273,2.079004436057033,single-source-schpd-physical,4,0.0004256527290267714,0.012025010601532382,insufficient_decrease
true,3,0.012500027911875322,1.0395022180285165,single-source-schpd-physical,4,0.05210652748808645,0.012025010601532382,actual_improvement
false,0,0.10000004155530029,7.877300823017084,single-source-schpd-physical,5,0.021582525074608012,0.012694844923427984,insufficient_decrease
false,1,0.05000045626704919,3.938650411508542,single-source-schpd-physical,5,0.009525614709632736,0.012694844923427984,insufficient_decrease
false,2,0.025000268866097408,1.969325205754271,single-source-schpd-physical,5,0.0034650604121247183,0.012694844923427984,insufficient_decrease
false,3,0.01250013930651439,0.9846626028771355,single-source-schpd-physical,5,0.00042636716132947054,0.012694844923427984,insufficient_decrease
true,4,0.0062500804641254515,0.49233130143856774,single-source-schpd-physical,5,0.05199834726593123,0.012694844923427984,actual_improvement
false,0,0.10000002131059171,7.663238727631562,single-source-schpd-physical,6,0.023081942575457537,0.01304952422572625,insufficient_decrease
false,1,0.050000477120042075,3.831619363815781,single-source-schpd-physical,6,0.011037646892028938,0.01304952422572625,insufficient_decrease
false,2,0.025000328664218197,1.9158096819078905,single-source-schpd-physical,6,0.004982871730549664,0.01304952422572625,insufficient_decrease
false,3,0.012500205760284655,0.9579048409539452,single-source-schpd-physical,6,0.001946906828324498,0.01304952422572625,insufficient_decrease
false,4,0.006250139180482006,0.4789524204769726,single-source-schpd-physical,6,0.00042672048368821996,0.01304952422572625,insufficient_decrease
true,5,0.0031251092047436257,0.2394762102384863,single-source-schpd-physical,6,0.0519437879243615,0.01304952422572625,actual_improvement
false,0,0.10000030816887473,7.557515251880852,single-source-schpd-physical,7,0.02383139863326925,0.013232106856640113,insufficient_decrease
false,1,0.050000482604165786,3.778757625940426,single-source-schpd-physical,7,0.011793224776735655,0.013232106856640113,insufficient_decrease
false,2,0.02500035667421674,1.889378812970213,single-source-schpd-physical,7,0.005741359057930165,0.013232106856640113,insufficient_decrease
false,3,0.01250023732354233,0.9446894064851065,single-source-schpd-physical,7,0.0027067824706635234,0.013232106856640113,insufficient_decrease
false,4,0.006250174081820159,0.47234470324255323,single-source-schpd-physical,7,0.001187277617023236,0.013232106856640113,insufficient_decrease
false,5,0.0031251391485318525,0.23617235162127662,single-source-schpd-physical,7,0.00042695838182870186,0.013232106856640113,insufficient_decrease
false,6,0.0015626240403454617,0.11808617581063831,single-source-schpd-physical,7,4.66601502535321e-5,0.013232106856640113,insufficient_decrease
