id,iteration,mode,cost,absolute_change,epsilon_1e6,epsilon_1e4,epsilon_1e2,original_outer_status
single-source-schpd,1,diagnostic,NaN,NaN,false,false,false,iteration_limit
single-source-schpd,2,dispatch,80.98155518474674,NaN,false,false,false,iteration_limit
single-source-schpd,3,dispatch,80.76839966036471,0.21315552438203156,false,false,false,iteration_limit
single-source-schpd,4,dispatch,80.54844357860631,0.2199560817583972,false,false,false,iteration_limit
single-source-schpd,5,dispatch,80.32056676074758,0.2278768178587285,false,false,false,iteration_limit
single-source-schpd,6,dispatch,80.0834628393965,0.23710392135107838,false,false,false,iteration_limit
single-source-schpd,7,dispatch,79.83558751672741,0.2478753226690884,false,false,false,iteration_limit
single-source-schpd,8,dispatch,79.57509476446637,0.26049275226104385,false,false,false,iteration_limit
single-source-schpd,9,dispatch,79.29975137496129,0.27534338950508186,false,false,false,iteration_limit
single-source-schpd,10,dispatch,79.00682410557404,0.2929272693872491,false,false,false,iteration_limit
single-source-schpd,11,dispatch,78.69291061912989,0.3139134864441502,false,false,false,iteration_limit
single-source-schpd,12,dispatch,78.35371586996516,0.3391947491647329,false,false,false,iteration_limit
single-source-schpd,13,dispatch,78.34241307998533,0.011302789979822592,false,false,false,iteration_limit
single-source-schpd,14,dispatch,78.33674633842645,0.005666741558883359,false,false,true,iteration_limit
single-source-schpd,15,dispatch,78.3285572801271,0.008189058299350904,false,false,true,iteration_limit
single-source-schpd,16,dispatch,78.32164123184448,0.006916048282619158,false,false,true,iteration_limit
single-source-schpd,17,dispatch,78.31472491751249,0.00691631433198836,false,false,true,iteration_limit
single-source-schpd,18,dispatch,78.3078118355792,0.00691308193329121,false,false,true,iteration_limit
single-source-schpd,19,dispatch,78.30089928147092,0.00691255410828262,false,false,true,iteration_limit
single-source-schpd,20,dispatch,78.29398196735465,0.006917314116265061,false,false,true,iteration_limit
single-source-schpd,21,dispatch,78.28706319415542,0.006918773199231509,false,false,true,iteration_limit
single-source-schpd,22,dispatch,78.28014728168063,0.006915912474795505,false,false,true,iteration_limit
