absolute_change,accepted_relative_change,cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,paper_form_epsilon_0.0001,paper_form_epsilon_0.01,paper_form_epsilon_1.0e-6,predicted_improvement,projected_gradient_norm,relative_change,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,,,1,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.2792360857329348,,0,0,true,true
,0.005399247446089993,182.98760537864405,2,,,,,,dispatch,false,false,local_direction_stalled,,,,,0.021327660919287394,,0,0,true,true
0.9879953610067673,0.0016189383229900844,181.99961001763728,3,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.01641069393197203,0.005399247446089993,0,0,true,true
0.29464614342680306,0.0036560548927071484,181.70496387421048,4,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.01615634253811493,0.0016189383229900844,0,0,true,true
0.6643233222014828,0.0009727767267313514,181.040640552009,5,0.03383804603950735,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,0.00010085829078487762,0.01466988953443571,0.0036560548927071484,0,0,true,true
0.17611212172153046,0.0009644956069471168,180.86452843028746,6,0.0344478946195057,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,9.964223940152339e-5,0.02487433421119989,0.0009727767267313514,0,0,true,true
0.17444304312357417,0.0009654344114192773,180.6900853871639,7,0.035037233877896146,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,9.94483844748012e-5,0.026589022950900487,0.0009644956069471168,0,0,true,true
0.17444442623505552,0.0008534167989002117,180.51564096092883,8,0.03634369955054151,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,8.677702690280953e-5,0.024863270658701087,0.0009654344114192773,0,0,true,true
0.1540550804602958,0.0007796303123320217,180.36158588046854,9,0.0373481462589933,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,7.841339183616014e-5,0.028774561855274383,0.0008534167989002117,0,0,true,true
0.14061535953268844,0.0007731432984246596,180.22097052093585,10,0.037891040405514165,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,false,false,7.757023452979739e-5,0.030888686054445058,0.0007796303123320217,0,0,true,true
