absolute_change,accepted_relative_change,cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,paper_form_epsilon_0.0001,paper_form_epsilon_0.01,paper_form_epsilon_1.0e-6,predicted_improvement,projected_gradient_norm,relative_change,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,,,1,,not_recorded,false,nonsmooth_requires_neighbor,,diagnostic,false,false,local_direction_stalled,,,,,,,0,0,false,true
,,,2,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.16583939276046245,,0,0,true,true
,,,3,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.1654135158403438,,0,0,true,true
,,,4,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.16551996006876013,,0,0,true,true
,,,5,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.16546676959884343,,0,0,true,true
,,,6,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.16549332797490302,,0,0,true,true
,,,7,0.00011325311957532946,checked,true,local_checked,false,diagnostic,false,false,local_direction_stalled,,,,1.874182533739336e-5,0.1654867188718634,,0,0,true,true
,6.853067865532041e-5,80.25174199587593,8,,,,,,dispatch,false,false,local_direction_stalled,,,,,0.010735531808431342,,0,0,true,true
0.0054997063422490555,0.007980059246325777,80.24624228953368,9,0.04152372514754887,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.0004198404209060508,,6.853067865532041e-5,0,0,false,false
0.6403697677654918,7.600066804587252e-5,79.60587252176819,10,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.011422144295094583,0.007980059246325777,0,0,true,true
0.006050099492028949,0.008223481651766146,79.59982242227616,11,0.04301052883915091,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.00042929160642823927,,7.600066804587252e-5,0,0,false,false
0.6545876791734315,4.003799530061724e-5,78.94523474310273,12,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.011696994131725758,0.008223481651766146,0,0,true,true
0.003160808937650472,0.00847106609919319,78.94207393416508,13,0.04450617530373435,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.00043868965911776636,,4.003799530061724e-5,0,0,false,false
0.6687235263037081,8.454454348642905e-5,78.27335040786137,14,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.012194852539215373,0.00847106609919319,0,0,true,true
0.006617584677385935,0.008724815126693413,78.26673282318399,15,0.046020352366589634,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.00044809112233195475,,8.454454348642905e-5,0,0,false,false
0.6828627744525875,4.4696510184604775e-5,77.5838700487314,16,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.012708362304841181,0.008724815126693413,0,0,true,true
0.0034677282377941765,0.008982353913442768,77.5804023204936,17,0.04753024053816546,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.00045739570510903993,,4.4696510184604775e-5,0,0,false,false
0.6968546303899501,4.7317215883619616e-5,76.88354769010365,18,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.01323205980823583,0.008982353913442768,0,0,true,true
0.003637915423951199,0.009244431268149396,76.8799097746797,19,0.04903812694185916,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.0004666113566454133,,4.7317215883619616e-5,0,0,false,false
0.7107110418135534,0.00010032193851470266,76.16919873286615,20,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.013769127853321517,0.009244431268149396,0,0,true,true
0.007641441671992766,0.009512020436079535,76.16155729119416,21,0.05054397567501567,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.0004757504217349495,,0.00010032193851470266,0,0,false,false
0.7244502893974811,5.3316587868009835e-5,75.43710700179668,22,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.014322880400743143,0.009512020436079535,0,0,true,true
0.0040220491439697525,0.009782706951961546,75.4330849526527,23,0.0520276520288796,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.0004847243970274445,,5.3316587868009835e-5,0,0,false,false
0.7379397645742216,5.668556863956735e-5,74.69514518807848,24,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.014886367915356358,0.009782706951961546,0,0,true,true
0.004234136779601272,0.010056635083185841,74.69091105129888,25,0.053484766419792606,checked,true,local_checked,false,dispatch,false,false,local_direction_stalled,false,true,false,0.00049350665931399,,5.668556863956735e-5,0,0,false,false
