absolute_change,accepted_relative_change,cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,paper_form_epsilon_0.0001,paper_form_epsilon_0.01,paper_form_epsilon_1.0e-6,predicted_improvement,projected_gradient_norm,relative_change,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,,,1,,not_recorded,false,nonsmooth_requires_neighbor,,diagnostic,false,false,local_direction_stalled,,,,,,,0,0,false,true
,,,2,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.21085364264017092,,0,0,true,true
,,,3,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.21030924016182317,,0,0,true,true
,,,4,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.2084445849510963,,0,0,true,true
,,,5,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.20280008389168458,,0,0,true,true
,,,6,,,,,,diagnostic,false,false,local_direction_stalled,,,,,0.2034596867938646,,0,0,true,true
,0.0023134186704559757,81.13420838501025,7,,,,,,dispatch,false,false,local_direction_stalled,,,,,0.031446133903606066,,0,0,true,true
0.1876973924905485,0.0005765324180941496,80.9465109925197,8,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.030850653850136855,0.0023134186704559757,0,0,true,true
0.04666828771880205,0.00028808132978755705,80.8998427048009,9,,,,,,dispatch,false,false,local_direction_stalled,false,false,false,,0.030705826212904852,0.0005765324180941496,0,0,true,true
0.023305734266003242,0.00032812185500116623,80.8765369705349,10,0.0031249974837450623,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,1.756715724057778e-5,0.030633928557883716,0.00028808132978755705,0,0,true,true
0.026537359336842314,0.0003170255918129804,80.84999961119806,11,0.003124999393410377,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,1.6992992975355115e-5,0.030605283547285977,0.00032812185500116623,0,0,true,true
0.0256315189748193,0.0001688034607893259,80.82436809222324,12,0.003124999360803571,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.04450540738233e-6,,0.0003170255918129804,0,0,false,false
0.013643433050077647,0.00016875224755197898,80.81072465917316,13,0.0031249993215993754,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.042748361838548e-6,,0.0001688034607893259,0,0,false,false
0.0136369914125396,0.00016883668907361008,80.79708766776062,14,0.0031249992782420577,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.04558084576651e-6,,0.00016875224755197898,0,0,false,false
0.013641512768614916,8.547256832694895e-5,80.783446154992,15,0.001562499871894829,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,4.5778137640617445e-6,,0.00016883668907361008,0,0,false,false
0.006904768621168955,0.0001688863832741365,80.77654138637084,16,0.0031249992054434017,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,true,false,9.046510733197455e-6,,8.547256832694895e-5,0,0,false,false
0.013642057928137774,0.00016900051673300693,80.7628993284427,17,0.0031249991555881707,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.046795273186248e-6,,0.0001688863832741365,0,0,false,false
0.013648971719362635,0.00016895981198049087,80.74925035672334,18,0.0031249991052000325,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.042795658380232e-6,,0.00016900051673300693,0,0,false,false
0.01364337815783756,0.00016890932062849003,80.7356069785655,19,0.0031249990567943087,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.042803537355482e-6,,0.00016895981198049087,0,0,false,false
0.013636996525278278,8.56143917459832e-5,80.72196998204022,20,0.0015624999162646702,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,4.578091541140861e-6,,0.00016890932062849003,0,0,false,false
0.006910962360549888,0.00016899403343990043,80.71505901967967,21,0.0031249989937975897,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,true,false,9.044101814126293e-6,,8.56143917459832e-5,0,0,false,false
0.013640363383075282,0.0001690543112982045,80.7014186562966,22,0.003124998965393644,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.046830804368411e-6,,0.00016899403343990043,0,0,false,false
0.013642922751728292,0.00016911019519206565,80.68777573354487,23,0.003124998953207836,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.048113450961515e-6,,0.0001690543112982045,0,0,false,false
0.013645125503913391,0.00016914215858016498,80.67413060804095,24,0.0031249989638446607,checked,true,local_checked,true,dispatch,false,false,local_direction_stalled,false,false,false,9.04817054691448e-6,,0.00016911019519206565,0,0,false,false
