cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,predicted_improvement,projected_gradient_norm,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,47,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012654195028138915,0,0,true,true
,48,0.004867361384368163,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.253723672846839e-7,0.0012593699845354633,0,0,true,true
,49,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012641293029785894,0,0,true,true
,50,0.004880029212259718,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.299592638129426e-7,0.001227915564228188,0,0,true,true
,51,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012626659429466613,0,0,true,true
,52,0.00489183030192919,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.352549231599341e-7,0.0012522865751635193,0,0,true,true
,53,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.001260429398444507,0,0,true,true
,54,0.004902708900359487,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.408079999001198e-7,0.00125195444253412,0,0,true,true
,55,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012570268613527613,0,0,true,true
,56,0.00491265290497922,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.452360366543018e-7,0.0012511251979344662,0,0,true,true
,57,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012546736169141148,0,0,true,true
,58,0.004921536708278884,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.498860680223374e-7,0.0012332453649930297,0,0,true,true
,59,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012525010943296166,0,0,true,true
,60,0.004929334031770427,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.543799083973996e-7,0.0012352930753698477,0,0,true,true
,61,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012500548140371714,0,0,true,true
,62,0.004935987271661446,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.585373180053125e-7,0.001236580769853779,0,0,true,true
,63,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.00124764934934396,0,0,true,true
,64,0.004941445290596924,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.635695575140817e-7,0.0012052010409876468,0,0,true,true
,65,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012451738424781311,0,0,true,true
,66,0.004945653408558126,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.674344916001658e-7,0.0009172432115258644,0,0,true,true
,67,0.004936386822853356,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.788376642930189e-7,0.0012427877424471268,0,0,true,true
,68,0.0049375720670656875,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.836630574368006e-7,0.001240448057694521,0,0,true,true
,69,0.004937377442383761,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.883647564672604e-7,0.001238215801338316,0,0,true,true
,70,0.004935734145795401,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.929504993765639e-7,0.0012360829005186869,0,0,true,true
,71,0.004932597257738314,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.974091601612587e-7,0.0012340345798105279,0,0,true,true
,72,0.00492792521046348,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.017295893587119e-7,0.0012320579293950695,0,0,true,true
,73,0.004921679464619189,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.059007307421206e-7,0.0012301303431123678,0,0,true,true
,74,0.004913820373040556,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.099108893581229e-7,0.0012282285059688203,0,0,true,true
,75,0.004904412423011095,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.137593114272471e-7,0.0012263436579867948,0,0,true,true
,76,0.0048933753204349895,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.174294688838407e-7,0.0012244461842656484,0,0,true,true
,77,0.00488011105819508,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.208478410170968e-7,0.0012225256099753778,0,0,true,true
,78,0.004861783805593101,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.235418054630949e-7,0.0012205677457552966,0,0,true,true
,79,0.004845839792518847,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.266224065927539e-7,0.0012185363068831778,0,0,true,true
,80,0.004828178172946895,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.295048060530822e-7,0.0012165070279857026,0,0,true,true
,81,0.004808817506107843,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.321643701628495e-7,0.0012144344127549278,0,0,true,true
,82,0.004787756706811308,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.345930327829193e-7,0.0012123176604307284,0,0,true,true
,83,0.004765010203515718,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.367848617818271e-7,0.0012101555785746232,0,0,true,true
,84,0.004740598791629136,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.38734876826014e-7,0.001207950649121381,0,0,true,true
