run_id,trial,update,accepted,physical_pass,equation,scope,entity,t,residual,unit,tolerance,pass
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-10,model,2,3,2.1163626406917047e-16,Mvar,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-13,model,2,3,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-9,model,2,4,5.551115123125783e-17,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-10,model,2,4,9.367506770274758e-17,Mvar,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-13,model,2,4,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-11,model,1,1,8.112542755622787e-17,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-12,model,1,1,0.0,pu,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,pre-SOC-electric,physics,1,1,1.9018999696881402,pu,1.0e-6,false
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-14,model,1,1,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-11,model,1,2,2.4170932182848714e-17,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-12,model,1,2,0.0,pu,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,pre-SOC-electric,physics,1,2,1.8737340691143096,pu,1.0e-6,false
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-14,model,1,2,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-11,model,1,3,1.0421893383016911e-16,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-12,model,1,3,0.0,pu,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,pre-SOC-electric,physics,1,3,1.8936529237182758,pu,1.0e-6,false
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-14,model,1,3,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-11,model,1,4,5.757791162255832e-17,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-12,model,1,4,0.0,pu,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,pre-SOC-electric,physics,1,4,1.8837223507892298,pu,1.0e-6,false
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-14,model,1,4,0.0,pu2,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-21,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-43,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-17,model,1,1,4.6651013446696865e-7,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-17-original,physics,1,1,4.6651013446696865e-7,MW,3.0e-6,true
