record_id,run_id,case_sha256,side,payment_USD,status,lower_objective,pass
hand_hour,r5-market-abf62929-07c8-4e51-aa98-c2b11228c5a4,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,minimum,600.0,solver_optimal,-1280.0,true
hand_hour,r5-market-abf62929-07c8-4e51-aa98-c2b11228c5a4,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,maximum,600.0,solver_optimal,-1280.0,true
wide_line,r5-market-681437c9-ac65-40fd-bc6b-66f7f00bd77b,1c3a0de4705a0f7127f49c9cc3ebba08c627dfb567cbad44097ff321d9324aac,minimum,4980.0,solver_optimal,-13140.0,true
wide_line,r5-market-681437c9-ac65-40fd-bc6b-66f7f00bd77b,1c3a0de4705a0f7127f49c9cc3ebba08c627dfb567cbad44097ff321d9324aac,maximum,5880.0,solver_optimal,-13140.0,true
