record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,none,building,2,1.0,293.4999999999999,0.038526662081945814,0.08000000000000007,0.0,0.0
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,none,building,3,1.0,292.15,0.0,0.0725140784665379,0.0,0.0
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,none,building,4,1.0,293.15,0.04699999999999932,0.08,0.0,0.0
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,up,building,1,1.0,294.15,0.05599999999999943,0.0,0.08,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,up,building,2,1.0,294.15,0.03899999999999857,0.0,0.08000000000000007,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,up,building,3,1.0,294.15,0.03599999999999999,0.0,0.0725140784665379,0.0725140784665379
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,up,building,4,1.0,293.15,0.01,0.0,0.08,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,down,building,1,1.0,295.15,0.025499999999999766,0.16,-0.08,-0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,down,building,2,1.0,295.15,0.03599999999999972,0.16000000000000003,-0.07999999999999996,-0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,down,building,3,1.0,294.34999999999997,0.0,0.15251407846653778,-0.07999999999999988,-0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,down,building,4,1.0,293.15,-0.0,0.16,-0.08,-0.08
merit_strategic-sos1,r5-strategic-cc4a0e90-3c71-4796-bf73-f06bb983aab4,none,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-sos1,r5-strategic-cc4a0e90-3c71-4796-bf73-f06bb983aab4,up,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-sos1,r5-strategic-cc4a0e90-3c71-4796-bf73-f06bb983aab4,down,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-branch,r5-strategic-90c032c2-718a-40fc-a456-eb81190abfb1,none,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-branch,r5-strategic-90c032c2-718a-40fc-a456-eb81190abfb1,up,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-branch,r5-strategic-90c032c2-718a-40fc-a456-eb81190abfb1,down,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_fixed_bid-sos1,r5-strategic-17f63035-b818-4eb6-9185-928c9cca9ebe,none,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-sos1,r5-strategic-17f63035-b818-4eb6-9185-928c9cca9ebe,up,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-sos1,r5-strategic-17f63035-b818-4eb6-9185-928c9cca9ebe,down,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-branch,r5-strategic-03011a20-5d65-456e-9638-22e31f0ab431,none,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-branch,r5-strategic-03011a20-5d65-456e-9638-22e31f0ab431,up,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-branch,r5-strategic-03011a20-5d65-456e-9638-22e31f0ab431,down,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
