run_id,case,policy,electric,equation,scope,entity,t,residual,tolerance,normalized,pass,unit
open--fixed--socp,open,fixed,socp,devices,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,PV,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,demand,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,1,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,demand,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,1,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,heat_conversion,model,1,1,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,R4-P2,model,1,1,0.0,1.2e-6,0.0,true,MWh
open--fixed--socp,open,fixed,socp,devices,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,PV,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,demand,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,2,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,demand,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,2,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,heat_conversion,model,1,2,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,R4-P2,model,1,2,0.0,1.2e-6,0.0,true,MWh
open--fixed--socp,open,fixed,socp,devices,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,PV,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,demand,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,3,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,demand,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,3,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,heat_conversion,model,1,3,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,R4-P2,model,1,3,0.0,1.2e-6,0.0,true,MWh
open--fixed--socp,open,fixed,socp,devices,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,devices,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,PV,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,demand,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,4,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,demand,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,dissatisfaction_epigraph,model,1,4,0.0,1.0e-6,0.0,true,MW²
open--fixed--socp,open,fixed,socp,heat_conversion,model,1,4,0.0,3.0e-6,0.0,true,MW
open--fixed--socp,open,fixed,socp,R4-P2,model,1,4,0.0,1.2e-6,0.0,true,MWh
