run_id,policy,actor,utility,system_cost,cash_balance
base--central_socp,teaching,DSO,158.99749934081126,165.04933316162712,0.0
base--central_socp,teaching,A,-68.82353034693652,165.04933316162712,0.0
base--central_socp,teaching,B,-255.22330215550187,165.04933316162712,0.0
base--central_socp,alternative,DSO,158.99749934081126,165.04933316162712,-2.842170943040401e-14
base--central_socp,alternative,A,-59.099315047407096,165.04933316162712,-2.842170943040401e-14
base--central_socp,alternative,B,-264.94751745503135,165.04933316162712,-2.842170943040401e-14
base--central_socp,no_p2p,DSO,247.8848999303001,165.04933316162712,0.0
base--central_socp,no_p2p,A,-111.43988932614332,165.04933316162712,0.0
base--central_socp,no_p2p,B,-301.4943437657839,165.04933316162712,0.0
base--central_exact,teaching,DSO,158.9981955599531,165.04932978588795,2.842170943040401e-14
base--central_exact,teaching,A,-68.82398354503134,165.04932978588795,2.842170943040401e-14
base--central_exact,teaching,B,-255.2235418008097,165.04932978588795,2.842170943040401e-14
base--central_exact,alternative,DSO,158.9981955599531,165.04932978588795,0.0
base--central_exact,alternative,A,-59.09978945917125,165.04932978588795,0.0
base--central_exact,alternative,B,-264.9477358866698,165.04932978588795,0.0
base--central_exact,no_p2p,DSO,247.88540774331278,165.04932978588795,0.0
base--central_exact,no_p2p,A,-111.44025216272067,165.04932978588795,0.0
base--central_exact,no_p2p,B,-301.4944853664801,165.04932978588795,0.0
electric_bottleneck--central_socp,teaching,DSO,119.57111940602744,172.15572180711234,8.526512829121202e-14
electric_bottleneck--central_socp,teaching,A,-72.93394307171123,172.15572180711234,8.526512829121202e-14
electric_bottleneck--central_socp,teaching,B,-218.79289814142845,172.15572180711234,8.526512829121202e-14
electric_bottleneck--central_socp,alternative,DSO,119.57111940602744,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_socp,alternative,A,-66.22180763054283,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_socp,alternative,B,-225.5050335825969,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_socp,no_p2p,DSO,176.2692270159845,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_socp,no_p2p,A,-100.14421169964714,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_socp,no_p2p,B,-248.28073712344965,172.15572180711234,2.842170943040401e-14
electric_bottleneck--central_exact,teaching,DSO,119.5718972317666,172.15571557487633,5.684341886080802e-14
electric_bottleneck--central_exact,teaching,A,-72.93470608273225,172.15571557487633,5.684341886080802e-14
electric_bottleneck--central_exact,teaching,B,-218.79290672391062,172.15571557487633,5.684341886080802e-14
electric_bottleneck--central_exact,alternative,DSO,119.5718972317666,172.15571557487633,8.526512829121202e-14
electric_bottleneck--central_exact,alternative,A,-66.22257481695907,172.15571557487633,8.526512829121202e-14
electric_bottleneck--central_exact,alternative,B,-225.50503798968379,172.15571557487633,8.526512829121202e-14
electric_bottleneck--central_exact,no_p2p,DSO,176.26998881793827,172.15571557487633,2.842170943040401e-14
electric_bottleneck--central_exact,no_p2p,A,-100.14496690069639,172.15571557487633,2.842170943040401e-14
electric_bottleneck--central_exact,no_p2p,B,-248.2807374921182,172.15571557487633,2.842170943040401e-14
heat_bottleneck--central_socp,teaching,DSO,146.28594465608404,166.97439778132238,2.842170943040401e-14
heat_bottleneck--central_socp,teaching,A,-71.49594974435627,166.97439778132238,2.842170943040401e-14
heat_bottleneck--central_socp,teaching,B,-241.76439269305013,166.97439778132238,2.842170943040401e-14
