run_id,t,carrier,payer,payee,kind,quantity_MWh,price,amount
base--central_exact,1,H,A,DSO,service,0.19308780666635103,5.0,0.9654390333317552
base--central_exact,1,H,A,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,1,H,DSO,A,retail_sell,0.0017999999894261487,40.0,0.07199999957704595
base--central_exact,1,H,B,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,1,H,DSO,B,retail_sell,0.0,40.0,0.0
base--central_exact,2,H,B,A,p2p,0.0,100.0,0.0
base--central_exact,2,H,A,DSO,service,0.0,5.0,0.0
base--central_exact,2,H,A,DSO,retail_buy,0.020330973393491242,160.0,3.2529557429585987
base--central_exact,2,H,DSO,A,retail_sell,0.0,40.0,0.0
base--central_exact,2,H,B,DSO,retail_buy,0.09070839497764455,160.0,14.513343196423127
base--central_exact,2,H,DSO,B,retail_sell,0.0,40.0,0.0
base--central_exact,3,H,B,A,p2p,0.10327484484541102,100.0,10.327484484541102
base--central_exact,3,H,A,DSO,service,0.10327484484541102,5.0,0.5163742242270551
base--central_exact,3,H,A,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,3,H,DSO,A,retail_sell,0.0017999999563855784,40.0,0.07199999825542314
base--central_exact,3,H,B,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,3,H,DSO,B,retail_sell,0.0,40.0,0.0
base--central_exact,4,H,B,A,p2p,0.19308791909464063,100.0,19.308791909464063
base--central_exact,4,H,A,DSO,service,0.19308791909464063,5.0,0.9654395954732031
base--central_exact,4,H,A,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,4,H,DSO,A,retail_sell,0.0017999999894205976,40.0,0.0719999995768239
base--central_exact,4,H,B,DSO,retail_buy,0.0,160.0,0.0
base--central_exact,4,H,DSO,B,retail_sell,0.0,40.0,0.0
electric_bottleneck--central_socp,1,P,B,A,p2p,0.0,130.0,0.0
electric_bottleneck--central_socp,1,P,A,DSO,service,0.0,5.0,0.0
electric_bottleneck--central_socp,1,P,A,DSO,retail_buy,0.2804949684581034,200.0,56.09899369162068
electric_bottleneck--central_socp,1,P,DSO,A,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,1,P,B,DSO,retail_buy,0.1497440717948454,200.0,29.948814358969077
electric_bottleneck--central_socp,1,P,DSO,B,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,2,P,B,A,p2p,0.06710807123936108,130.0,8.72404926111694
electric_bottleneck--central_socp,2,P,A,DSO,service,0.06710807123936108,5.0,0.3355403561968054
electric_bottleneck--central_socp,2,P,A,DSO,retail_buy,0.0,200.0,0.0
electric_bottleneck--central_socp,2,P,DSO,A,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,2,P,B,DSO,retail_buy,0.08262964937154499,200.0,16.525929874308996
electric_bottleneck--central_socp,2,P,DSO,B,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,3,P,B,A,p2p,0.14859140206042423,130.0,19.31688226785515
electric_bottleneck--central_socp,3,P,A,DSO,service,0.14859140206042423,5.0,0.7429570103021211
electric_bottleneck--central_socp,3,P,A,DSO,retail_buy,0.0,200.0,0.0
electric_bottleneck--central_socp,3,P,DSO,A,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,3,P,B,DSO,retail_buy,0.0011549043514578472,200.0,0.23098087029156944
electric_bottleneck--central_socp,3,P,DSO,B,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,4,P,B,A,p2p,0.0,130.0,0.0
electric_bottleneck--central_socp,4,P,A,DSO,service,0.0,5.0,0.0
electric_bottleneck--central_socp,4,P,A,DSO,retail_buy,0.26372887858057953,200.0,52.74577571611591
electric_bottleneck--central_socp,4,P,DSO,A,retail_sell,0.0,60.0,0.0
electric_bottleneck--central_socp,4,P,B,DSO,retail_buy,0.1497441844221457,200.0,29.94883688442914
