run_id,equation,scope,entity,t,residual,tolerance,unit,pass
base--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,PV,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,demand,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,R4-P2,model,2,3,4.876646841639396e-13,1.2e-6,MWh,true
base--central_socp,battery_mode,model,2,3,0.0,1.0e-6,1,true
base--central_socp,binary,model,2,3,0.0,1.0e-6,1,true
base--central_socp,charge_exclusive,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,discharge_exclusive,model,2,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,PV,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,demand,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,R4-P2,model,2,4,0.0,1.2e-6,MWh,true
base--central_socp,battery_mode,model,2,4,0.0,1.0e-6,1,true
base--central_socp,binary,model,2,4,0.0,1.0e-6,1,true
base--central_socp,charge_exclusive,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,discharge_exclusive,model,2,4,0.0,3.0e-6,MW,true
base--central_socp,energy,model,2,1,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,2,2,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,2,3,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,2,4,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,2,5,0.0,1.2e-6,MWh,true
base--central_socp,initial,model,2,0,0.0,1.2e-6,MWh,true
base--central_socp,terminal,model,2,4,0.0,1.2e-6,MWh,true
base--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,PV,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,demand,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,3,1,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,3,1,7.478007796324349e-12,3.0e-6,MW,true
base--central_socp,R4-P2,model,3,1,0.0,1.2e-6,MWh,true
base--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,PV,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,demand,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,3,2,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,3,2,7.471773200151688e-12,3.0e-6,MW,true
base--central_socp,R4-P2,model,3,2,0.0,1.2e-6,MWh,true
base--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,PV,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,demand,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,3,3,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,3,3,7.491673947868094e-12,3.0e-6,MW,true
base--central_socp,R4-P2,model,3,3,0.0,1.2e-6,MWh,true
base--central_socp,devices,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,devices,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,PV,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,demand,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
base--central_socp,demand,model,3,4,0.0,3.0e-6,MW,true
base--central_socp,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
base--central_socp,heat_conversion,model,3,4,7.48731632249644e-12,3.0e-6,MW,true
