iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,dispatch,0.0531646092319318,true,1.0,0.011493150918221118,true,false,1
2,dispatch,0.052936127717310044,true,1.0,0.011204564637162573,true,false,1
3,dispatch,0.05270039529272289,true,1.0,0.011051749762907015,true,false,1
4,dispatch,0.052454012729620976,true,1.0,0.011827350044821494,true,false,1
5,dispatch,0.0521930618382779,true,1.0,0.012694040727288969,true,false,1
6,dispatch,0.05191280481244396,true,0.25,0.01367754513349484,true,false,3
7,dispatch,0.05183778944414444,true,0.0625,0.013951412191089196,true,false,5
8,dispatch,0.05181866823651648,true,0.03125,0.014021984665528509,true,false,6
9,dispatch,0.05180905584869171,true,0.0009765625,0.014057510325192646,true,false,11
10,dispatch,0.05180869785940518,false,,,false,false,0
