method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,4,2,3,22,1.0,0.0,1
equipment-fixed-central-socp,electric,4,2,3,23,1.0,0.0,1
equipment-fixed-central-socp,electric,4,2,3,24,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,1,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,2,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,3,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,4,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,5,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,6,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,7,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,8,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,9,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,10,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,11,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,12,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,13,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,14,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,15,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,16,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,17,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,18,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,19,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,20,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,21,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,22,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,23,1.0,0.0,1
equipment-fixed-central-socp,electric,5,3,4,24,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,1,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,2,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,3,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,4,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,5,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,6,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,7,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,8,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,9,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,10,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,11,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,12,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,13,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,14,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,15,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,16,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,17,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,18,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,19,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,20,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,21,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,22,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,23,1.0,0.0,1
equipment-fixed-central-socp,electric,6,4,5,24,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,1,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,2,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,3,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,4,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,5,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,6,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,7,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,8,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,9,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,10,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,11,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,12,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,13,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,14,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,15,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,16,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,17,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,18,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,19,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,20,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,21,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,22,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,23,1.0,0.0,1
equipment-fixed-central-socp,electric,7,5,6,24,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,1,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,2,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,3,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,4,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,5,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,6,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,7,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,8,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,9,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,10,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,11,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,12,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,13,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,14,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,15,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,16,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,17,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,18,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,19,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,20,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,21,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,22,1.0,0.0,1
