iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,0.0021278183145210477,true,0.5,0.17448696401749608,true,false,2
2,dispatch,0.053694175298200995,true,1.0,0.008600126730879953,true,true,1
3,dispatch,0.053552844225145675,true,1.0,0.008904835315264759,true,false,1
4,dispatch,0.05340700409667571,true,1.0,0.009234231554708483,true,false,1
5,dispatch,0.053255912187208314,true,1.0,0.009591558889426643,true,false,1
6,dispatch,0.053098702320246986,true,1.0,0.009981084661256467,true,false,1
7,dispatch,0.05293435056141587,true,1.0,0.010407960332110111,true,false,1
8,dispatch,0.0527616329163681,true,1.0,0.010878482271726941,true,false,1
9,dispatch,0.0525790686745533,true,1.0,0.01140045625780406,true,false,1
10,dispatch,0.05238484558120544,true,1.0,0.01198355086272862,true,false,1
11,dispatch,0.05217670774375407,true,1.0,0.012640235614814532,true,false,1
12,dispatch,0.05195180736637393,true,0.03125,0.013386564299482817,true,false,6
13,dispatch,0.05194431314148344,true,0.015625,0.013412286215182756,true,false,7
14,dispatch,0.051940555853617856,true,0.001953125,0.013420491840107407,true,false,10
15,dispatch,0.051940086614533455,true,0.0009765625,0.013426354601567159,true,false,11
16,dispatch,0.05193985118256635,true,0.00048828125,0.013413879492622294,true,false,12
17,dispatch,0.05193970551398496,false,,,false,false,0
