candidate,method,day_id,run_id,t,time_end_h,dt_h,trained_label,representative,device,kind,P_MW,Q_Mvar
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,8,8.0,1.0,0,training_mean_zero_call,CHP,CHP,0.036306120614052695,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,8,8.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,9,9.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,9,9.0,1.0,0,training_mean_zero_call,GT,GT,0.10656465550774563,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,9,9.0,1.0,0,training_mean_zero_call,CHP,CHP,0.03343534449225438,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,9,9.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,10,10.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,10,10.0,1.0,0,training_mean_zero_call,GT,GT,0.09964031077098834,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,10,10.0,1.0,0,training_mean_zero_call,CHP,CHP,0.030359689229011666,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,10,10.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,11,11.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,11,11.0,1.0,0,training_mean_zero_call,GT,GT,0.10264767298708322,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,11,11.0,1.0,0,training_mean_zero_call,CHP,CHP,0.02735232701291679,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,11,11.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,12,12.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,12,12.0,1.0,0,training_mean_zero_call,GT,GT,0.11567779955222657,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,12,12.0,1.0,0,training_mean_zero_call,CHP,CHP,0.024322200447773445,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,12,12.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,13,13.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,13,13.0,1.0,0,training_mean_zero_call,GT,GT,0.11870033800102153,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,13,13.0,1.0,0,training_mean_zero_call,CHP,CHP,0.02129966199897848,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,13,13.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,14,14.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,14,14.0,1.0,0,training_mean_zero_call,GT,GT,0.1097106138973486,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,14,14.0,1.0,0,training_mean_zero_call,CHP,CHP,0.020289386102651408,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,14,14.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,15,15.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,15,15.0,1.0,0,training_mean_zero_call,GT,GT,0.10736056173466102,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,15,15.0,1.0,0,training_mean_zero_call,CHP,CHP,0.022639438265338985,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,15,15.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,16,16.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,16,16.0,1.0,0,training_mean_zero_call,GT,GT,0.10722838114044145,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,16,16.0,1.0,0,training_mean_zero_call,CHP,CHP,0.02588716978761485,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,16,16.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,17,17.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,17,17.0,1.0,0,training_mean_zero_call,GT,GT,0.13116282674930244,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,17,17.0,1.0,0,training_mean_zero_call,CHP,CHP,0.028837173250697568,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,17,17.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,18,18.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,18,18.0,1.0,0,training_mean_zero_call,GT,GT,0.14811358059982022,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,18,18.0,1.0,0,training_mean_zero_call,CHP,CHP,0.03188641940017978,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,18,18.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,19,19.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,19,19.0,1.0,0,training_mean_zero_call,GT,GT,0.1450974153458056,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,19,19.0,1.0,0,training_mean_zero_call,CHP,CHP,0.03490258465419438,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,19,19.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,20,20.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,20,20.0,1.0,0,training_mean_zero_call,GT,GT,0.13408501505121814,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,20,20.0,1.0,0,training_mean_zero_call,CHP,CHP,0.03591498494878187,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,20,20.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,21,21.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,21,21.0,1.0,0,training_mean_zero_call,GT,GT,0.07779035597505139,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,21,21.0,1.0,0,training_mean_zero_call,CHP,CHP,0.03759380850250649,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,21,21.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,22,22.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
