record,run_id,side,pipe,scenario,time_h,energy_MWh,outlet_mean_K,flow_kg_s
thermal-steady_n1_same_dispatch,r7-thermal-f996dccd-6f35-45c0-ab73-e1dfb420ec28,S,1,1,0.0,0.11666666666666665,,
thermal-steady_n1_same_dispatch,r7-thermal-f996dccd-6f35-45c0-ab73-e1dfb420ec28,S,1,1,1.0,0.1166666666666667,343.15,3.174603174603175
thermal-steady_n1_same_dispatch,r7-thermal-f996dccd-6f35-45c0-ab73-e1dfb420ec28,R,1,1,0.0,0.11666666666666665,,
thermal-steady_n1_same_dispatch,r7-thermal-f996dccd-6f35-45c0-ab73-e1dfb420ec28,R,1,1,1.0,0.1166666666666667,313.15,3.174603174603175
thermal-steady_n1_curtail_heat,r7-thermal-3154aaea-4a61-4772-a97e-502ca710666b,S,1,1,0.0,0.11666666666666665,,
thermal-steady_n1_curtail_heat,r7-thermal-3154aaea-4a61-4772-a97e-502ca710666b,S,1,1,1.0,0.1166666666666667,343.15,3.174603174603175
thermal-steady_n1_curtail_heat,r7-thermal-3154aaea-4a61-4772-a97e-502ca710666b,R,1,1,0.0,0.11666666666666665,,
thermal-steady_n1_curtail_heat,r7-thermal-3154aaea-4a61-4772-a97e-502ca710666b,R,1,1,1.0,0.1166666666666667,313.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,S,1,1,0.0,0.11666666666666665,,
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,S,1,1,0.25,0.11666666666666692,343.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,S,1,1,0.5,0.11666666666666714,343.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,S,1,1,0.75,0.11666666666666758,343.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,S,1,1,1.0,0.1166666666666667,343.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,R,1,1,0.0,0.11666666666666665,,
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,R,1,1,0.25,0.1166666666666667,313.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,R,1,1,0.5,0.11666666666666647,313.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,R,1,1,0.75,0.11666666666666647,313.15,3.174603174603175
thermal-steady_n4_same_dispatch,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,R,1,1,1.0,0.11666666666666581,313.15,3.174603174603175
thermal-steady_n4_curtail_heat,r7-thermal-60c0f597-5bcd-4b43-a5d1-12f41bba34e6,S,1,1,0.0,0.11666666666666665,,
thermal-steady_n4_curtail_heat,r7-thermal-60c0f597-5bcd-4b43-a5d1-12f41bba34e6,S,1,1,0.25,0.11666666666666692,343.15,3.174603174603175
thermal-steady_n4_curtail_heat,r7-thermal-60c0f597-5bcd-4b43-a5d1-12f41bba34e6,S,1,1,0.5,0.11666666666666714,343.15,3.174603174603175
