run_id,mode,method,time_h,recovery,chp_MW,pv_MW,source_heat_MW,heat_loss_MW,net_heat_MWh
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,1.0,false,0.1072399618032195,1.7100113269320615e-12,0.16085994270426107,0.0029353273290077596,0.007924615375253317
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,2.0,false,0.03965803611687397,0.26400000000046264,0.15796028833223774,0.002960288332245284,0.002924615375245772
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,3.0,false,-2.4775258071438617e-13,0.3767124637622293,0.1678749403464934,0.002874940346149265,-0.002075384624410115
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,4.0,false,0.11191662690077037,0.08800000000262219,0.1678749403475588,0.0028749403461464,0.002924615377002269
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,5.0,true,0.11054484580835493,1.678029680976933e-12,0.16581726871156688,0.0028926533359584367,2.1539168018613886e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,6.0,true,0.11247794872278763,1.6663044887536036e-12,0.1687169230831944,0.0028676923327242546,2.1672546569873052e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,7.0,true,0.11247794872278763,1.666304456421863e-12,0.168716923083194,0.0028676923327242546,2.180203934054603e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,8.0,true,0.11247794872278823,1.6663044772809445e-12,0.16871692308319475,0.0028676923327242546,2.193902611663523e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,9.0,true,0.112477948722787,1.6663044951080628e-12,0.168716923083194,0.0028676923327242546,2.206851888730821e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,CF_CT,pg,10.0,true,0.11247794872278694,1.6663045538594227e-12,0.168716923083194,0.0028676923327242546,2.2198011657981187e-12
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,1.0,false,0.10723996180282425,0.0,0.16085994270423637,0.0029353273290077596,0.007924615375228615
