core_cost,cost,diagnostic,id,mode,stage,tail_cost,update
78.13795728808135,78.13795728808135,NaN,single-source-box50-physical,dispatch,91,0.0,6
78.13477366250677,78.13477366250677,NaN,single-source-box50-physical,dispatch,115,0.0,7
78.13318117596482,78.13318117596482,NaN,single-source-box50-physical,dispatch,141,0.0,8
80.18286364359955,80.18286364359955,NaN,single-source-box50-normalized,dispatch,1,0.0,0
78.64295247234347,78.64295247234347,NaN,single-source-box50-normalized,dispatch,5,0.0,1
78.2333401421983,78.2333401421983,NaN,single-source-box50-normalized,dispatch,15,0.0,2
78.18249110940641,78.18249110940641,NaN,single-source-box50-normalized,dispatch,31,0.0,3
78.15704894698038,78.15704894698038,NaN,single-source-box50-normalized,dispatch,49,0.0,4
78.14432243150435,78.14432243150435,NaN,single-source-box50-normalized,dispatch,69,0.0,5
78.13795728808135,78.13795728808135,NaN,single-source-box50-normalized,dispatch,91,0.0,6
78.13477366250677,78.13477366250677,NaN,single-source-box50-normalized,dispatch,115,0.0,7
78.13318117596482,78.13318117596482,NaN,single-source-box50-normalized,dispatch,141,0.0,8
NaN,NaN,0.029648411070094614,single-source-box75-physical,diagnostic,2,NaN,0
NaN,NaN,0.01595700528287058,single-source-box75-physical,diagnostic,4,NaN,1
NaN,NaN,0.002957412714068155,single-source-box75-physical,diagnostic,8,NaN,2
81.37432712602194,81.37432712602194,NaN,single-source-box75-physical,dispatch,11,0.0,3
80.32474808795558,80.32474808795558,NaN,single-source-box75-physical,dispatch,17,0.0,4
80.08442154218224,80.08442154218224,NaN,single-source-box75-physical,dispatch,27,0.0,5
80.0695967951942,80.0695967951942,NaN,single-source-box75-physical,dispatch,45,0.0,6
80.06218795992545,80.06218795992545,NaN,single-source-box75-physical,dispatch,65,0.0,7
80.0584843187419,80.0584843187419,NaN,single-source-box75-physical,dispatch,87,0.0,8
NaN,NaN,0.029648411070094614,single-source-box75-normalized,diagnostic,2,NaN,0
NaN,NaN,0.01595700528287058,single-source-box75-normalized,diagnostic,4,NaN,1
NaN,NaN,0.002957412714068155,single-source-box75-normalized,diagnostic,8,NaN,2
81.37432712602194,81.37432712602194,NaN,single-source-box75-normalized,dispatch,11,0.0,3
80.32474808795558,80.32474808795558,NaN,single-source-box75-normalized,dispatch,17,0.0,4
80.08442154218224,80.08442154218224,NaN,single-source-box75-normalized,dispatch,27,0.0,5
80.0695967951942,80.0695967951942,NaN,single-source-box75-normalized,dispatch,45,0.0,6
80.06218795992545,80.06218795992545,NaN,single-source-box75-normalized,dispatch,65,0.0,7
80.0584843187419,80.0584843187419,NaN,single-source-box75-normalized,dispatch,87,0.0,8
NaN,NaN,0.00742724719548382,single-source-legacy_tail-physical,diagnostic,2,NaN,0
NaN,NaN,4.450861328735194e-5,single-source-legacy_tail-physical,diagnostic,4,NaN,1
NaN,NaN,1.0695493595335052e-5,single-source-legacy_tail-physical,diagnostic,10,NaN,2
NaN,NaN,2.5879027395899543e-6,single-source-legacy_tail-physical,diagnostic,20,NaN,3
32.737210163003425,146.03258188121853,NaN,single-source-legacy_tail-physical,dispatch,33,113.29537171821511,4
NaN,NaN,0.00742724719548382,single-source-legacy_tail-normalized,diagnostic,2,NaN,0
NaN,NaN,4.450861328735194e-5,single-source-legacy_tail-normalized,diagnostic,4,NaN,1
NaN,NaN,1.0695493595335052e-5,single-source-legacy_tail-normalized,diagnostic,10,NaN,2
NaN,NaN,2.5879027395899543e-6,single-source-legacy_tail-normalized,diagnostic,20,NaN,3
32.737210163003425,146.03258188121853,NaN,single-source-legacy_tail-normalized,dispatch,33,113.29537171821511,4
NaN,NaN,0.0073820917671460415,single-source-bounded_return_tail-physical,diagnostic,2,NaN,0
32.71547382754791,145.9874101696672,NaN,single-source-bounded_return_tail-physical,dispatch,3,113.2719363421193,1
32.367379377538455,145.639315881241,NaN,single-source-bounded_return_tail-physical,dispatch,9,113.27193650370255,2
32.282527376331046,145.5544638756912,NaN,single-source-bounded_return_tail-physical,dispatch,19,113.27193649936017,3
32.27194935845773,145.54388585591704,NaN,single-source-bounded_return_tail-physical,dispatch,35,113.27193649745931,4
32.26665915628212,145.53859554442477,NaN,single-source-bounded_return_tail-physical,dispatch,53,113.27193638814268,5
NaN,NaN,0.0073820917671460415,single-source-bounded_return_tail-normalized,diagnostic,2,NaN,0
32.71547382754791,145.9874101696672,NaN,single-source-bounded_return_tail-normalized,dispatch,3,113.2719363421193,1
32.367379377538455,145.639315881241,NaN,single-source-bounded_return_tail-normalized,dispatch,9,113.27193650370255,2
32.282527376331046,145.5544638756912,NaN,single-source-bounded_return_tail-normalized,dispatch,19,113.27193649936017,3
32.27194935845773,145.54388585591704,NaN,single-source-bounded_return_tail-normalized,dispatch,35,113.27193649745931,4
32.26665915628212,145.53859554442477,NaN,single-source-bounded_return_tail-normalized,dispatch,53,113.27193638814268,5
NaN,NaN,0.007382091805635563,single-source-core_only-physical,diagnostic,2,NaN,0
32.71546565923246,32.71546565923246,NaN,single-source-core_only-physical,dispatch,3,0.0,1
32.363198570735804,32.363198570735804,NaN,single-source-core_only-physical,dispatch,9,0.0,2
32.27744260971695,32.27744260971695,NaN,single-source-core_only-physical,dispatch,19,0.0,3
32.26675526628817,32.26675526628817,NaN,single-source-core_only-physical,dispatch,35,0.0,4
32.26141101743488,32.26141101743488,NaN,single-source-core_only-physical,dispatch,53,0.0,5
NaN,NaN,0.007382091805635563,single-source-core_only-normalized,diagnostic,2,NaN,0
32.71546565923246,32.71546565923246,NaN,single-source-core_only-normalized,dispatch,3,0.0,1
32.363198570735804,32.363198570735804,NaN,single-source-core_only-normalized,dispatch,9,0.0,2
32.27744260971695,32.27744260971695,NaN,single-source-core_only-normalized,dispatch,19,0.0,3
32.26675526628817,32.26675526628817,NaN,single-source-core_only-normalized,dispatch,35,0.0,4
32.26141101743488,32.26141101743488,NaN,single-source-core_only-normalized,dispatch,53,0.0,5
NaN,NaN,0.0021278183145210477,single-source-schpd-step001,diagnostic,2,NaN,0
80.22287842089806,80.22287842089806,NaN,single-source-schpd-step001,dispatch,3,0.0,1
79.97738154166638,79.97738154166638,NaN,single-source-schpd-step001,dispatch,7,0.0,2
79.85375234758737,79.85375234758737,NaN,single-source-schpd-step001,dispatch,13,0.0,3
79.83827523571867,79.83827523571867,NaN,single-source-schpd-step001,dispatch,25,0.0,4
79.83053372930797,79.83053372930797,NaN,single-source-schpd-step001,dispatch,39,0.0,5
79.82859992265956,79.82859992265956,NaN,single-source-schpd-step001,dispatch,57,0.0,6
79.82763381118545,79.82763381118545,NaN,single-source-schpd-step001,dispatch,77,0.0,7
79.82708900503249,79.82708900503249,NaN,single-source-schpd-step001,dispatch,99,0.0,8
NaN,NaN,0.0021278183145210477,single-source-schpd-step100,diagnostic,2,NaN,0
80.94076673520452,80.94076673520452,NaN,single-source-schpd-step100,dispatch,11,0.0,1
79.35297501471379,79.35297501471379,NaN,single-source-schpd-step100,dispatch,23,0.0,2
78.5645279613569,78.5645279613569,NaN,single-source-schpd-step100,dispatch,37,0.0,3
78.15877251389446,78.15877251389446,NaN,single-source-schpd-step100,dispatch,53,0.0,4
78.05585340037975,78.05585340037975,NaN,single-source-schpd-step100,dispatch,73,0.0,5
78.00408212057928,78.00408212057928,NaN,single-source-schpd-step100,dispatch,95,0.0,6
77.99109722424805,77.99109722424805,NaN,single-source-schpd-step100,dispatch,121,0.0,7
NaN,NaN,0.007753055026080744,two-source-schpd-physical,diagnostic,2,NaN,0
182.9863617551801,182.9863617551801,NaN,two-source-schpd-physical,dispatch,3,0.0,1
179.4094280900252,179.4094280900252,NaN,two-source-schpd-physical,dispatch,7,0.0,2
NaN,NaN,0.007753055026080744,two-source-schpd-normalized,diagnostic,2,NaN,0
182.9893076421676,182.9893076421676,NaN,two-source-schpd-normalized,dispatch,3,0.0,1
180.0356520558546,180.0356520558546,NaN,two-source-schpd-normalized,dispatch,7,0.0,2
181.63539796104027,181.63539796104027,NaN,two-source-case_fixed-physical,dispatch,1,0.0,0
180.47807832547113,180.47807832547113,NaN,two-source-case_fixed-physical,dispatch,5,0.0,1
180.21205509840513,180.21205509840513,NaN,two-source-case_fixed-physical,dispatch,15,0.0,2
180.14643252573833,180.14643252573833,NaN,two-source-case_fixed-physical,dispatch,29,0.0,3
180.13007542758095,180.13007542758095,NaN,two-source-case_fixed-physical,dispatch,47,0.0,4
180.12598911828283,180.12598911828283,NaN,two-source-case_fixed-physical,dispatch,69,0.0,5
180.1239462457528,180.1239462457528,NaN,two-source-case_fixed-physical,dispatch,93,0.0,6
180.122924828581,180.122924828581,NaN,two-source-case_fixed-physical,dispatch,119,0.0,7
181.63539796104027,181.63539796104027,NaN,two-source-case_fixed-normalized,dispatch,1,0.0,0
180.55824902559647,180.55824902559647,NaN,two-source-case_fixed-normalized,dispatch,5,0.0,1
