flow_sha256,id,model_cost,raw_physical_pass,roles,stage,strict_cost,strict_physical_pass,strict_stage,strict_status
cb173a54513a16120a2e821a1904769762df9db92e52ce9ee743fd8bb6c81828,single-source-schpd-physical,80.7856349224336,false,first_model_feasible,5,80.78563474020463,true,119,solver_optimal
b3d9bd342e19a1149e35cc4673b4dc22340ad8a65d73a0c38bb8baca37061eb1,single-source-schpd-physical,78.30541794420482,false,epsilon_0.01;lowest_model_cost,115,78.30545009867342,true,120,solver_optimal
cb173a54513a16120a2e821a1904769762df9db92e52ce9ee743fd8bb6c81828,single-source-schpd-normalized,80.7856349224336,false,first_model_feasible,5,80.78563474020463,true,119,solver_optimal
b3d9bd342e19a1149e35cc4673b4dc22340ad8a65d73a0c38bb8baca37061eb1,single-source-schpd-normalized,78.30541794420482,false,epsilon_0.01;lowest_model_cost,115,78.30545009867342,true,120,solver_optimal
0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,single-source-case_fixed-physical,80.18286341908787,false,first_model_feasible,1,80.1828633618028,true,169,solver_optimal
abd1fa4a819d20f0e69b0e5cef21d354f4f8035bdfa0aa6a9bfe0f113774ff84,single-source-case_fixed-physical,78.1379576549401,false,epsilon_0.01,91,78.1379575177063,true,170,solver_optimal
9b18fb764414350bd321d1c12db03f2185a4e843cec599974ecdba49f68cdb68,single-source-case_fixed-physical,78.13318157908675,false,lowest_model_cost,141,78.13318142240169,true,171,solver_optimal
0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,single-source-case_fixed-normalized,80.18286341908787,false,first_model_feasible,1,80.1828633618028,true,169,solver_optimal
abd1fa4a819d20f0e69b0e5cef21d354f4f8035bdfa0aa6a9bfe0f113774ff84,single-source-case_fixed-normalized,78.1379576549401,false,epsilon_0.01,91,78.1379575177063,true,170,solver_optimal
9b18fb764414350bd321d1c12db03f2185a4e843cec599974ecdba49f68cdb68,single-source-case_fixed-normalized,78.13318157908675,false,lowest_model_cost,141,78.13318142240169,true,171,solver_optimal
d48932bb118f5f52fb35b143569583a4de458408e377dfbea1dd8d5f15343a82,single-source-box25-physical,80.53833350830101,false,first_model_feasible,21,80.53833350361879,true,139,solver_optimal
6876457bf6f0f2e90de12fb5010f9ca3c4d44002749d71275d8f3444cb43a74a,single-source-box25-physical,80.1368386182614,false,lowest_model_cost,111,80.13683844145189,true,140,solver_optimal
d48932bb118f5f52fb35b143569583a4de458408e377dfbea1dd8d5f15343a82,single-source-box25-normalized,80.53833350830101,false,first_model_feasible,21,80.53833350361879,true,139,solver_optimal
6876457bf6f0f2e90de12fb5010f9ca3c4d44002749d71275d8f3444cb43a74a,single-source-box25-normalized,80.1368386182614,false,lowest_model_cost,111,80.13683844145189,true,140,solver_optimal
f11eeb5bc03af3b1702dee53a3283553cf2c0385bb1005a5ccadfa030e051c19,single-source-box50-physical,80.18286364359955,false,first_model_feasible,1,80.18286358625369,true,169,solver_optimal
0de66ddec018bad513bc48c14157c34817ae4b36af8e739ec1d9129059f5ab82,single-source-box50-physical,78.13795728808135,false,epsilon_0.01,91,78.13795711622267,true,170,solver_optimal
421ff7c3a723f67bacf66db6d2ef58eac0fa6134cef6f83011ce9ae553c71c78,single-source-box50-physical,78.13318117596482,false,lowest_model_cost,141,78.13318101938486,true,171,solver_optimal
