id,run_id,stage,event,fault,pipe,time,flow_kg_s
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,recovery,1,0,1,2,5.0
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,recovery,1,1,1,2,0.0
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,recovery,2,0,1,3,5.0
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,recovery,2,1,1,3,0.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,normal,0,none,1,1,5.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,normal,0,none,1,2,5.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,normal,0,none,1,3,5.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,normal,0,none,1,4,5.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,recovery,1,0,1,2,0.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,recovery,1,1,1,2,0.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,recovery,2,0,1,3,0.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,recovery,2,1,1,3,0.0
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,normal,0,none,1,1,3.447897992356971
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,normal,0,none,1,2,3.1695896563960235
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,normal,0,none,1,3,3.6971006488451565
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,normal,0,none,1,4,3.575059116252236
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,recovery,1,0,1,2,1.4230815234400342
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,recovery,1,1,1,2,0.0
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,recovery,2,0,1,3,1.6378275097839479
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,recovery,2,1,1,3,0.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,normal,0,none,1,1,5.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,normal,0,none,1,2,5.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,normal,0,none,1,3,5.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,normal,0,none,1,4,5.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,recovery,1,0,1,2,5.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,recovery,2,0,1,3,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,normal,0,none,1,1,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,normal,0,none,1,2,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,normal,0,none,1,3,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,normal,0,none,1,4,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,recovery,1,0,1,2,5.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,recovery,2,0,1,3,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,normal,0,none,1,1,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,normal,0,none,1,2,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,normal,0,none,1,3,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,normal,0,none,1,4,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,recovery,1,0,1,2,5.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,recovery,2,0,1,3,5.0
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,normal,0,none,1,1,5.0
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,normal,0,none,1,2,5.0
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,normal,0,none,1,3,5.0
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,normal,0,none,1,4,3.1720233543845193
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,recovery,1,0,1,2,5.146148153376625
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,recovery,2,0,1,3,4.999983197344366
