id,group,control,solver,run_id,status,model_pass,cost_complete,cost_USD,lower_bound_USD,relative_gap,elapsed_sec,model_class,nonsimultaneous_pass
ua0_healthy_zero_loss_prescribed_highs,healthy_zero_loss_ua0,prescribed,HiGHS,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,candidate,true,true,192.02849999999972,192.02849999999967,2.9601553342763233e-16,23.680999994277954,MILP,true
ua0_healthy_zero_loss_prescribed_gurobi,healthy_zero_loss_ua0,prescribed,Gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,candidate,true,true,192.02850000000012,192.02850000000012,0.0,23.53500008583069,MILP,true
ua0_healthy_zero_loss_recovery_continuous_gurobi,healthy_zero_loss_ua0,recovery_continuous,Gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,candidate,true,true,192.00000000301597,191.9999999999996,1.5710247917145652e-11,2.0510001182556152,nonconvex_MIQCP,true
ua0_healthy_zero_loss_joint_continuous_gurobi,healthy_zero_loss_ua0,joint_continuous,Gurobi,r7-flow-planning-382ddd3a-4a9b-44fd-af74-eaaf5514e0f1,candidate,true,true,191.9999999999995,191.9999999999995,0.0,1.6180000305175781,nonconvex_MIQCP,true
ua0_all_faults_heat_limit_prescribed_highs,all_faults_heat_limit_ua0,prescribed,HiGHS,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,candidate,true,true,193.27499999999975,193.27499999999975,0.0,0.07800006866455078,MILP,true
ua0_all_faults_heat_limit_prescribed_gurobi,all_faults_heat_limit_ua0,prescribed,Gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,candidate,true,true,193.27500000000086,193.27500000000055,1.6175853252331792e-15,0.06200003623962402,MILP,true
ua0_all_faults_heat_limit_recovery_continuous_gurobi,all_faults_heat_limit_ua0,recovery_continuous,Gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,candidate,true,true,193.27499999999964,193.27499999999964,0.0,0.06700015068054199,nonconvex_MIQCP,true
ua0_all_faults_heat_limit_joint_continuous_gurobi,all_faults_heat_limit_ua0,joint_continuous,Gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,candidate,true,true,193.27500000599997,193.2750000000001,3.104322702879777e-11,0.7860000133514404,nonconvex_MIQCP,true
ua0_all_faults_zero_loss_prescribed_highs,all_faults_zero_loss_ua0,prescribed,HiGHS,r7-flow-planning-f8e86961-a14b-4113-b31c-9106c13d603b,infeasible_certified,false,false,,0.0,,0.042999982833862305,MILP,false
ua0_all_faults_zero_loss_prescribed_gurobi,all_faults_zero_loss_ua0,prescribed,Gurobi,r7-flow-planning-c893365e-0d97-4065-b5aa-c05fce37cd30,infeasible_certified,false,false,,,,0.07299995422363281,MILP,false
ua0_all_faults_zero_loss_recovery_continuous_gurobi,all_faults_zero_loss_ua0,recovery_continuous,Gurobi,r7-flow-planning-c3a65e76-c274-454a-b079-11f0385a8281,infeasible_certified,false,false,,,,0.03600001335144043,nonconvex_MIQCP,false
ua0_all_faults_zero_loss_joint_continuous_gurobi,all_faults_zero_loss_ua0,joint_continuous,Gurobi,r7-flow-planning-b66f8df3-f491-4c9d-9c2b-614e5a9c3d76,infeasible_certified,false,false,,,,0.04200005531311035,nonconvex_MIQCP,false
ua10_healthy_zero_loss_prescribed_highs,healthy_zero_loss_ua10,prescribed,HiGHS,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,candidate,true,true,191.77494993204706,191.7749499320471,-1.4820345118314393e-16,0.18400001525878906,MILP,true
ua10_healthy_zero_loss_prescribed_gurobi,healthy_zero_loss_ua10,prescribed,Gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,candidate,true,true,191.77494993204675,191.77494993204687,-5.928138047325767e-16,0.15799999237060547,MILP,true
ua10_healthy_zero_loss_recovery_continuous_gurobi,healthy_zero_loss_ua10,recovery_continuous,Gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,candidate,true,true,191.7749499373396,191.7749499373396,0.0,2.5290000438690186,nonconvex_MINLP,true
ua10_healthy_zero_loss_joint_continuous_gurobi,healthy_zero_loss_ua10,joint_continuous,Gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,candidate,true,true,191.7398723347782,191.73987233477823,-1.482305640674447e-16,268.79100012779236,nonconvex_MINLP,true
