t,minimum_demand_MW,internal_loss_MW,maximum_supply_MW,maximum_import_MW,deficit_MW,positive_deficit
1,7.241733333333334,0.32833170403333584,9.291771337142858,0.17000000000000012,-1.8917062997761873,false
2,7.241733333333334,0.32833170403333584,9.311945360000001,0.17000000000000012,-1.9118803226333303,false
3,7.060690000000001,0.32833170403333584,9.325394708571428,0.17000000000000012,-2.106373004538092,false
4,6.879646666666668,0.32833170403333584,9.332119382857144,0.17000000000000012,-2.29414101215714,false
5,7.241733333333334,0.32833170403333584,9.318670034285715,0.17000000000000012,-1.9186049969190446,false
6,7.965906666666667,0.32833170403333584,9.271597314285716,0.17000000000000012,-1.1473589435857117,false
7,8.690080000000002,0.32833170403333584,9.204350571428572,0.17000000000000012,-0.3559388673952351,false
8,9.052166666666668,0.32833170403333584,9.130379154285714,0.17000000000000012,0.08011921641428904,true
9,8.690080000000002,0.32833170403333584,9.07658176,0.17000000000000012,-0.22817005596666365,false
10,7.965906666666667,0.32833170403333584,9.049683062857143,0.17000000000000012,-0.9254446921571403,false
11,7.4227766666666675,0.32833170403333584,9.036233714285714,0.17000000000000012,-1.455125343585712,false
12,7.241733333333334,0.32833170403333584,9.063132411428573,0.17000000000000012,-1.6630673740619017,false
13,7.060690000000001,0.32833170403333584,9.103480457142858,0.17000000000000012,-1.8844587531095207,false
14,6.879646666666668,0.32833170403333584,9.12365448,0.17000000000000012,-2.0856761092999974,false
15,7.060690000000001,0.32833170403333584,9.103480457142858,0.17000000000000012,-1.8844587531095207,false
16,7.603820000000001,0.32833170403333584,9.07658176,0.17000000000000012,-1.3144300559666644,false
17,8.327993333333335,0.32833170403333584,9.049683062857143,0.17000000000000012,-0.563358025490473,false
18,8.871123333333335,0.32833170403333584,9.036233714285714,0.17000000000000012,-0.006778676919044823,false
19,8.509036666666667,0.32833170403333584,9.063132411428573,0.17000000000000012,-0.3957640407285689,false
20,7.965906666666667,0.32833170403333584,9.103480457142858,0.17000000000000012,-0.9792420864428545,false
21,7.603820000000001,0.32833170403333584,9.157277851428573,0.17000000000000012,-1.3951261473952359,false
22,7.4227766666666675,0.32833170403333584,9.204350571428572,0.17000000000000012,-1.6232422007285694,false
23,7.241733333333334,0.32833170403333584,9.237973942857144,0.17000000000000012,-1.8379089054904731,false
24,7.241733333333334,0.32833170403333584,9.271597314285716,0.17000000000000012,-1.8715322769190446,false
