record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,none,building,4,1.0,293.15,0.04699999999999932,0.08,0.0,0.0
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,up,building,1,1.0,294.1499999999998,0.055999999999996,0.0,0.08,0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,up,building,2,1.0,294.1499999999998,0.038999999999998126,0.0,0.08,0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,up,building,3,1.0,294.1499999999999,0.03600000000000128,0.0,0.07251407846653847,0.07251407846653847
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,up,building,4,1.0,293.15,0.01000000000000149,0.0,0.08,0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,down,building,1,1.0,295.15000000000015,0.025500000000003194,0.16,-0.08,-0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,down,building,2,1.0,295.1500000000001,0.03599999999999978,0.16,-0.08,-0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,down,building,3,1.0,294.34999999999997,0.0,0.15251407846653847,-0.08,-0.08
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,down,building,4,1.0,293.15,-0.0,0.16,-0.08,-0.08
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,none,building,1,1.0,294.15,0.0529999999999996,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,none,building,2,1.0,294.15,0.035999999999999366,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,none,building,3,1.0,294.15,0.032999999999998954,0.0,0.0,0.0
