run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160851-0a6dc6e7,1,1.0,1,343.00000001190693,312.83531564497974,0.13188000002500444,1.0409523807376775
r2-20260916T160851-0a6dc6e7,1,1.0,2,347.3092406292174,313.0,0.15,1.0409523807376775
r2-20260916T160851-0a6dc6e7,2,2.0,1,362.5219631788166,312.8244905788535,0.20387612265051064,0.9767485432335917
r2-20260916T160851-0a6dc6e7,2,2.0,2,352.0020935881004,313.0,0.16,0.9767485432335917
r2-20260916T160851-0a6dc6e7,3,3.0,1,362.99999998733966,312.79210444722855,0.17388387729789848,0.8245898921035456
r2-20260916T160851-0a6dc6e7,3,3.0,2,362.0864499599111,313.0,0.17,0.8245898921035456
r2-20260916T160851-0a6dc6e7,4,4.0,1,362.9999996569919,312.77799704053376,0.16287999930626984,0.7721904781843508
r2-20260916T160851-0a6dc6e7,4,4.0,2,362.3339909924962,313.0,0.16,0.7721904781843508
