record,group,flow,fault,solver,substeps,kind,run_id,status,model_pass,loss_electric_MWh,loss_heat_MWh,loss_MWh,lower_bound_MWh,conditional_optimality,elapsed_sec
hand_reference_fault0_highs_n4,hand,reference,0,HiGHS,4,refinement,r7-transport-e2ba5e0a-e900-426d-80ab-9edb60b89081,solver_optimal,true,0.0,-1.3464807972300252e-16,-1.3464807972300252e-16,-1.3464807972300252e-16,true,0.018000125885009766
reserve_event_1_parent_fault0_highs_n16,reserve_event_1,parent,0,HiGHS,16,main,r7-transport-0632cee2-7988-472b-aede-c3dba87d1a1e,solver_optimal,true,0.0,0.012549999999999728,0.012549999999999728,0.012549999999999728,true,0.32200002670288086
reserve_event_1_parent_fault0_gurobi_n16,reserve_event_1,parent,0,Gurobi,16,main,r7-transport-787da9d6-c8ae-41ef-b643-3b4e4d18d002,solver_optimal,true,0.0,0.012549999999999617,0.012549999999999617,0.012549999999999617,true,0.0840001106262207
reserve_event_1_parent_fault1_highs_n16,reserve_event_1,parent,1,HiGHS,16,main,r7-transport-a46ae7dd-9791-49eb-a5d2-2cd65a5d973f,infeasible_certified,false,,,,0.0,false,0.029000043869018555
reserve_event_1_parent_fault1_gurobi_n16,reserve_event_1,parent,1,Gurobi,16,main,r7-transport-267c8c73-704a-48f5-9ba0-511f100b8c4c,infeasible_certified,false,,,,,false,0.01900005340576172
reserve_event_1_reference_fault0_highs_n16,reserve_event_1,reference,0,HiGHS,16,main,r7-transport-424472af-ddad-4909-a89d-faab66a5a382,solver_optimal,true,0.0,0.0,0.0,0.0,true,0.051000118255615234
reserve_event_1_reference_fault0_gurobi_n16,reserve_event_1,reference,0,Gurobi,16,main,r7-transport-a2fc4626-5d61-40f5-b0ce-674e992875eb,solver_optimal,true,0.0,0.0,0.0,0.0,true,0.04200005531311035
reserve_event_1_reference_fault1_highs_n16,reserve_event_1,reference,1,HiGHS,16,main,r7-transport-b3c854ba-1ffa-4a18-bab3-e865cb5ca9aa,infeasible_certified,false,,,,0.0,false,0.0279998779296875
reserve_event_1_reference_fault1_gurobi_n16,reserve_event_1,reference,1,Gurobi,16,main,r7-transport-69601c09-017b-43f1-a789-5d763f65d6d7,infeasible_certified,false,,,,,false,0.019999980926513672
reserve_event_1_zero_fault0_highs_n16,reserve_event_1,zero,0,HiGHS,16,zero,r7-transport-f3daf9b1-5eec-4894-8f10-55c21e9777bf,solver_optimal,true,0.0,0.4,0.4,0.4,true,0.032000064849853516
reserve_event_1_zero_fault1_highs_n16,reserve_event_1,zero,1,HiGHS,16,zero,r7-transport-c4881c7f-5537-42a0-961e-b51cb40717e5,solver_optimal,true,0.0,0.4,0.4,0.4,true,0.016000032424926758
reserve_event_1_reference_fault0_clarabel_n16,reserve_event_1,reference,0,Clarabel,16,open_reference,r7-transport-49df121a-2985-4202-82a6-45ea86f48277,solver_optimal,false,3.4780313373267528e-12,-3.4618807024354463e-13,3.1318432670832082e-12,,false,0.04500007629394531
reserve_event_2_parent_fault0_highs_n16,reserve_event_2,parent,0,HiGHS,16,main,r7-transport-3eccc7e4-db8d-465a-8b44-70a250f6eb68,solver_optimal,true,0.0,0.01049999999999962,0.01049999999999962,0.01049999999999962,true,0.04500007629394531
reserve_event_2_parent_fault0_gurobi_n16,reserve_event_2,parent,0,Gurobi,16,main,r7-transport-0b441de1-18b9-4458-992a-2d2cbde5f2b5,solver_optimal,true,0.0,0.01049999999999951,0.01049999999999951,0.01049999999999951,true,0.05499982833862305
reserve_event_2_parent_fault1_highs_n16,reserve_event_2,parent,1,HiGHS,16,main,r7-transport-cea805e1-39e2-4d88-ac5b-29acb924692b,infeasible_certified,false,,,,0.0,false,0.034999847412109375
reserve_event_2_parent_fault1_gurobi_n16,reserve_event_2,parent,1,Gurobi,16,main,r7-transport-3d41d37e-4881-4c23-8f97-46b9b097f077,infeasible_certified,false,,,,,false,0.018999814987182617
reserve_event_2_reference_fault0_highs_n16,reserve_event_2,reference,0,HiGHS,16,main,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,solver_optimal,true,0.0,0.0,0.0,0.0,true,0.04400014877319336
reserve_event_2_reference_fault0_gurobi_n16,reserve_event_2,reference,0,Gurobi,16,main,r7-transport-eb66529f-b304-4e10-8787-990e1f73632a,solver_optimal,true,0.0,0.0,0.0,0.0,true,0.026000022888183594
reserve_event_2_reference_fault1_highs_n16,reserve_event_2,reference,1,HiGHS,16,main,r7-transport-00edd313-dc76-4630-a633-b240d8072faf,infeasible_certified,false,,,,0.0,false,0.029999971389770508
reserve_event_2_reference_fault1_gurobi_n16,reserve_event_2,reference,1,Gurobi,16,main,r7-transport-268b00f0-91e8-485d-a177-0705e830edc6,infeasible_certified,false,,,,,false,0.02700018882751465
reserve_event_2_zero_fault0_highs_n16,reserve_event_2,zero,0,HiGHS,16,zero,r7-transport-13a82585-3cf5-4307-a6f8-f93cd96180ec,solver_optimal,true,0.0,0.4,0.4,0.4,true,0.02500009536743164
reserve_event_2_zero_fault1_highs_n16,reserve_event_2,zero,1,HiGHS,16,zero,r7-transport-05e36061-8cbd-40a4-94e9-382e8093a595,solver_optimal,true,0.0,0.4,0.4,0.4,true,0.016000032424926758
reserve_event_2_reference_fault0_clarabel_n16,reserve_event_2,reference,0,Clarabel,16,open_reference,r7-transport-9c797e54-efa7-482d-ba03-bc95c1b41324,solver_optimal,false,3.9668621581238236e-14,-6.529389762045342e-15,3.3139231819192895e-14,,false,0.04399991035461426
