t_h,branch,P_MW,P_capacity,H_in_MW,H_out_MW,H_capacity
1.0,1,0.5752822317068854,0.6,0.0018000000290270225,0.0,0.6
1.0,2,0.24916554433232846,0.6,0.1948878066391361,0.1930878066391361,0.6
2.0,1,0.09553280705812349,0.6,0.11463936838988961,0.11283936838988962,0.6
2.0,2,0.16739444756464136,0.6,0.09250839499639839,0.09070839499639839,0.6
3.0,1,0.001500003990403104,0.6,0.0018000000297457167,0.0,0.6
3.0,2,0.1708049988488157,0.6,0.10507484483154236,0.10327484483154237,0.6
4.0,1,0.5744681788745156,0.6,0.0018000000290278805,0.0,0.6
4.0,2,0.24916585777368053,0.6,0.19488791906742398,0.19308791906742398,0.6
