run_id,parent_run_id,case,policy,loss,legacy_cost,new_cost,new_minus_legacy,legacy_energy_model_pass,legacy_electric_pass,new_steady_pass,interpretation
open--fixed--reference,open--fixed--exact,open,fixed,reference,164.86478403240315,164.62895956028188,-0.23582447212126567,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
open--fixed--exponential,open--fixed--exact,open,fixed,exponential,164.86478403240315,164.55188458660578,-0.3128994457973704,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
open--joint--reference,open--joint--exact,open,joint,reference,164.7710725739141,164.5339303570802,-0.23714221683388814,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
open--joint--exponential,open--joint--exact,open,joint,exponential,164.7710725739141,164.45666690919148,-0.31440566472261366,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
import--fixed--reference,import--fixed--exact,import,fixed,reference,191.79273227410408,191.29619632763539,-0.4965359464686969,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
import--fixed--exponential,import--fixed--exact,import,fixed,exponential,191.79273227410408,191.22734261284398,-0.5653896612600988,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
import--joint--reference,import--joint--exact,import,joint,reference,191.7927322627555,191.28769354321338,-0.5050387195421138,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
import--joint--exponential,import--joint--exact,import,joint,exponential,191.7927322627555,191.218840047429,-0.5738922153264809,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
electric_bottleneck--fixed--reference,electric_bottleneck--fixed--exact,electric_bottleneck,fixed,reference,192.0341765466087,191.90140648501716,-0.13277006159154325,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
electric_bottleneck--fixed--exponential,electric_bottleneck--fixed--exact,electric_bottleneck,fixed,exponential,192.0341765466087,191.77608597174975,-0.25809057485895437,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
electric_bottleneck--joint--reference,electric_bottleneck--joint--exact,electric_bottleneck,joint,reference,191.80351863222,191.28769353297434,-0.5158250992456601,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
electric_bottleneck--joint--exponential,electric_bottleneck--joint--exact,electric_bottleneck,joint,exponential,191.80351863222,191.21884003630808,-0.5846785959119245,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
heat_bottleneck--fixed--reference,heat_bottleneck--fixed--exact,heat_bottleneck,fixed,reference,191.7927323164681,191.29619632763544,-0.4965359888326475,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
heat_bottleneck--fixed--exponential,heat_bottleneck--fixed--exact,heat_bottleneck,fixed,exponential,191.7927323164681,191.22734271102377,-0.5653896054443237,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
heat_bottleneck--joint--reference,heat_bottleneck--joint--exact,heat_bottleneck,joint,reference,191.79273225624573,191.28769352390964,-0.5050387323360894,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
heat_bottleneck--joint--exponential,heat_bottleneck--joint--exact,heat_bottleneck,joint,exponential,191.79273225624573,191.2188399803863,-0.5738922758594356,true,true,true,Combined idle-temperature-mixing model change; not a same-model optimality gap
