run_id,case,policy,loss,node,t,H_src_MW,H_D_MW,P_CHP_MW,P_HP_MW,P_EB_MW,P_PV_MW,source_mass_kg_s,load_mass_kg_s,S_K,R_K
open--fixed--reference,open,fixed,reference,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--reference,open,fixed,reference,1,2,0.11463936834706237,0.0,0.09553280694325193,0.0,0.0,0.0,0.8621894454693069,0.0,349.6587997939874,317.84944936974193
open--fixed--reference,open,fixed,reference,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--reference,open,fixed,reference,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--reference,open,fixed,reference,2,1,0.3,0.10511219333861535,0.0,0.1,0.0,0.0,2.372405398076163,0.851561736383755,348.1451211594365,317.89298340459254
open--fixed--reference,open,fixed,reference,2,2,0.10737742150710262,0.1277083949162401,0.0,0.035792473835700875,0.0,0.2699999999879568,0.837732043414917,0.9999708418510975,348.99097648959963,317.9992848885247
open--fixed--reference,open,fixed,reference,2,3,0.21046715644712105,0.10667479646450599,0.0,0.07015571881570702,0.0,0.45,1.6776274467059529,0.8658503717590766,348.21793498332454,318.20471931723307
open--fixed--reference,open,fixed,reference,2,4,0.3,0.10511208086875405,0.0,0.1,0.0,0.08999999997954199,2.372405646278705,0.8515609996635618,348.1451192376189,317.8929846477718
open--fixed--reference,open,fixed,reference,3,1,0.022024386718628424,0.2151121933160862,0.01835365556711068,0.0,0.0,0.0,0.16115786193834178,1.6820015236307495,348.16931608043365,317.57347744307
open--fixed--reference,open,fixed,reference,3,2,0.17999999997374833,0.27070839491167326,0.15,0.0,0.0,0.0,1.4059138938888096,2.105864540921936,348.31085240827724,317.5573197746761
open--fixed--reference,open,fixed,reference,3,3,0.1146824364752588,0.21667479645787385,0.09556869704653755,0.0,0.0,0.0,0.8879366529628214,1.6997137279096977,348.2859328436188,317.78898806023255
open--fixed--reference,open,fixed,reference,3,4,0.02202416177890105,0.21511208084622468,0.018353468117335667,0.0,0.0,0.0,0.1611561947265737,1.6820008413417167,348.1693126794826,317.5734776280031
open--fixed--exponential,open,fixed,exponential,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--exponential,open,fixed,exponential,1,2,0.11443744066676148,0.0,0.09536453393012179,0.0,0.0,0.0,0.6805078573909594,0.0,343.5308826741871,303.30006879352845
open--fixed--exponential,open,fixed,exponential,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--exponential,open,fixed,exponential,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--fixed--exponential,open,fixed,exponential,2,1,0.3,0.10511220917437279,0.0,0.1,0.0,0.0,2.184054796177067,1.0249293509176234,343.37331972665015,310.5122692446216
open--fixed--exponential,open,fixed,exponential,2,2,0.10687293547526427,0.12770836051664228,0.0,0.035624311825088094,0.0,0.2699999999879397,0.6279779689671847,0.7638060433222669,343.62623920527204,303.42799178316443
