run_id,case,policy,loss,pipe,from,to,t,active,m_kg_s,H_in_MW,H_out_MW,loss_MW,S_in_K,S_out_K,R_in_K,R_out_K
open--fixed--reference,open,fixed,reference,1,1,2,1,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,1,1,2,2,true,0.8621894454693069,0.11463936834706237,0.11283936834706237,0.001799999999999996,349.6587997939874,349.3091835834967,317.9992848885247,317.84944936974296
open--fixed--reference,open,fixed,reference,1,1,2,3,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,1,1,2,4,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,2,2,3,1,true,1.520843661692408,0.19488780659745777,0.19308780659745778,0.001799999999999996,348.1451211594365,347.9469184024462,317.57347744307,317.4885334043599
open--fixed--reference,open,fixed,reference,2,2,3,2,true,0.6999506470331264,0.09250839493792493,0.09070839493792493,0.001799999999999996,348.99097648959963,348.56032411725437,317.5573197746761,317.37275447224243
open--fixed--reference,open,fixed,reference,2,2,3,3,true,0.8117770749468761,0.10379235998261505,0.10199235998261505,0.001799999999999996,348.21793498332454,347.8466071693206,317.78898806023255,317.62984756851654
open--fixed--reference,open,fixed,reference,2,2,3,4,true,1.5208446466151428,0.1948879190673236,0.19308791906732362,0.001799999999999996,348.1451192376189,347.94691660898786,317.5734776280031,317.4885336443041
open--fixed--reference,open,fixed,reference,3,1,3,1,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,3,1,3,2,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,3,1,3,3,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,3,1,3,4,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,4,2,1,1,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,4,2,1,2,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,4,2,1,3,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,4,2,1,4,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,5,3,2,1,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
open--fixed--reference,open,fixed,reference,5,3,2,2,false,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
