record_id,run_id,scenario,probability,z,actual_event,raw_event,comfort_excess_K,recourse_cost,epigraph_cost,cost_worst_probability,risk_worst_probability,actual_worst_probability
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,none,0.5,0.0,0,0,0.0,7.702972259456654,7.702972259456657,0.49999999999503053,0.46849212494730064,0.46849212494730064
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,up,0.25,1.0,1,1,1.0,14.408715191176729,14.408715191176734,0.3000000000125681,0.30000000002822946,0.30000000002822946
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,0.25,0.0,0,0,0.0,5.382972259457805,5.38297225945667,0.19999999999240128,0.23150787502446998,0.23150787502446998
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,none,0.5,0.0,0,0,0.0,7.702972267042085,7.702972267056625,0.4999999999950305,0.46849212494730064,0.46849212494730064
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,up,0.25,1.0,1,1,0.9999999998676117,14.40871520172277,14.40871520170208,0.3000000000125681,0.30000000002822946,0.30000000002822946
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,down,0.25,0.0,0,0,0.0,5.382972267267675,5.382972267250811,0.19999999999240126,0.23150787502446998,0.23150787502446998
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,none,0.5,0.0,0,0,0.0,11.889867132951785,11.889867132951784,0.4999999999977372,0.5000000000023562,0.5000000000023562
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,up,0.25,0.0,0,0,0.0,20.34383252973803,20.343832529737973,0.2500000000098991,0.2499999999988219,0.2499999999988219
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,down,0.25,0.0,0,0,0.0,8.489867132951787,8.489867132951787,0.249999999992363,0.2499999999988219,0.2499999999988219
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,none,0.5,0.0,0,0,0.0,12.874766606198854,12.874766606240629,0.499999999997484,0.5000000000023562,0.5000000000023562
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,up,0.25,0.0,0,0,0.0,21.766465102388324,21.766465102421815,0.25000000000911426,0.2499999999988219,0.2499999999988219
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,down,0.25,0.0,0,0,0.0,9.474766606692238,9.474766606714539,0.24999999999340114,0.2499999999988219,0.2499999999988219
