record_id,run_id,scenario,building,t,dt_h,room_K,comfort_lower_K,comfort_upper_K,heat_MW,import_MW,request_MW,delivered_MW,mismatch_MW
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,up,building,1,1.0,294.15,292.15,294.15,0.05599999999999943,0.108,0.0,0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,up,building,2,1.0,294.15,292.15,294.15,0.03899999999999857,0.010000000000000023,0.08,0.08,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,up,building,3,1.0,294.15,292.15,294.15,0.035999999999999976,0.0,0.0,-0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,up,building,4,1.0,293.15,292.15,294.15,0.010000000000000012,0.0476681429672023,0.0,6.245004513516506e-17,6.245004513516506e-17
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,down,building,1,1.0,292.6636289895901,292.15,294.15,0.015813466760572412,0.108,0.0,0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,down,building,2,1.0,292.15,292.15,294.15,0.01672742020819746,0.09000000000000002,0.0,0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,down,building,3,1.0,293.2801325031888,292.15,294.15,0.04999304757334177,0.0,0.0,-0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,down,building,4,1.0,293.15,292.15,294.15,0.02139734993622395,0.047668142967202363,0.0,0.0,0.0
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,none,building,1,1.0,292.8329254024952,292.15,294.15,0.022707284257318328,0.10800000000233788,0.0,-2.0539125955565396e-15,2.0539125955565396e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,none,building,2,1.0,292.5524489009993,292.15,294.15,0.025597816673009758,0.08154935451769499,0.0,1.4432899320127035e-15,1.4432899320127035e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,none,building,3,1.0,293.08223662089495,292.15,294.15,0.040392464260531266,5.067933117629035e-13,0.0,3.589055823157283e-15,3.589055823157283e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,none,building,4,1.0,293.15000000000003,292.15,294.15,0.02835526758203402,0.045175460966913564,0.0,1.915134717478395e-15,1.915134717478395e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,up,building,1,1.0,294.1499999998012,292.15,294.15,0.05599999999534757,0.10800000000192359,4.3295084669542014e-13,4.1223968683112844e-13,2.0711159864291703e-14
