run_id,fault,status,model_pass,loss_optimization_complete,loss_electric_MWh,loss_heat_MWh,loss_MWh,lower_bound_MWh,elapsed_sec,detailed_heat_validated,ac_grid_validated
r7-recovery-a3d7e5a3-21c9-45be-a0af-bb7f162b924c,0,solver_optimal,true,true,0.0,0.0,0.0,0.0,4.8399999141693115,false,false
r7-recovery-ade43d2e-9b16-4fdc-960c-7b29edc82244,1,infeasible_certified,false,false,,,,0.0,0.021000146865844727,false,false
