equation,scope,entity,t,residual,unit,tolerance,pass
3-41,model,28,8,0.0,K,0.0001,true
3-41,model,28,8,0.0,K,0.0001,true
3-24,model,28,8,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,8,0.0,normalized,1.0e-6,true
3-21,model,28,9,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,9,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,9,1.3877787807814457e-16,MW,6.1e-5,true
3-17-original,physics,28,9,1.3877787807814457e-16,MW,6.1e-5,true
3-19:20,model,28,9,3.0531133177191805e-16,MW,6.1e-5,true
3-38,model,28,9,0.0,K,0.0001,true
3-41,model,28,9,0.0,K,0.0001,true
3-41,model,28,9,0.0,K,0.0001,true
3-24,model,28,9,0.0,kPa,0.005199261864978687,true
3-41,model,28,9,0.0,K,0.0001,true
3-41,model,28,9,0.0,K,0.0001,true
3-24,model,28,9,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,9,0.0,normalized,1.0e-6,true
3-21,model,28,10,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,10,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,10,1.6653345369377348e-16,MW,6.1e-5,true
3-17-original,physics,28,10,1.6653345369377348e-16,MW,6.1e-5,true
3-19:20,model,28,10,2.7755575615628914e-16,MW,6.1e-5,true
3-38,model,28,10,0.0,K,0.0001,true
3-41,model,28,10,0.0,K,0.0001,true
3-41,model,28,10,0.0,K,0.0001,true
3-24,model,28,10,0.0,kPa,0.005199261864978687,true
3-41,model,28,10,0.0,K,0.0001,true
3-41,model,28,10,0.0,K,0.0001,true
3-24,model,28,10,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,10,0.0,normalized,1.0e-6,true
3-21,model,28,11,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,11,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,11,1.942890293094024e-16,MW,6.1e-5,true
3-17-original,physics,28,11,1.942890293094024e-16,MW,6.1e-5,true
3-19:20,model,28,11,2.498001805406602e-16,MW,6.1e-5,true
3-38,model,28,11,0.0,K,0.0001,true
3-41,model,28,11,0.0,K,0.0001,true
3-41,model,28,11,0.0,K,0.0001,true
3-24,model,28,11,0.0,kPa,0.005199261864978687,true
3-41,model,28,11,0.0,K,0.0001,true
3-41,model,28,11,0.0,K,0.0001,true
3-24,model,28,11,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,11,0.0,normalized,1.0e-6,true
3-21,model,28,12,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,12,0.0,kg/s,2.947222222222222e-5,true
